"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.NMFIS.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.NMFIS.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Non-MFIs (incl. General Government),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:49,
2009-09,49689,
2009-10,50031,
2009-11,51873,
2009-12,51802,
2010-01,52922,
2010-02,54719,
2010-03,56009,
2010-04,56580,
2010-05,57728,
2010-06,57426,
2010-07,58600,
2010-08,59347,
2010-09,59679,
2010-10,58809,
2010-11,57509,
2010-12,57495,
2011-01,56926,
2011-02,56673,
2011-03,55179,
2011-04,54591,
2011-05,54985,
2011-06,54402,
2011-07,55776,
2011-08,55466,
2011-09,55292,
2011-10,54882,
2011-11,52829,
2011-12,52880,
2012-01,53828,
2012-02,54304,
2012-03,53382,
2012-04,54150,
2012-05,55093,
2012-06,54872,
2012-07,56052,
2012-08,56379,
2012-09,57312,
2012-10,57444,
2012-11,58460,
2012-12,59096,
2013-01,59972,
2013-02,61742,
2013-03,62383,
2013-04,63031,
2013-05,62941,
2013-06,61112,
2013-07,62737,
2013-08,61816,
2013-09,62221,
2013-10,61828,
2013-11,61082,
2013-12,60671,
2014-01,62053,
2014-02,63634,
2014-03,63670,
2014-04,64662,
2014-05,65353,
2014-06,65915,
2014-07,66516,
2014-08,67114,
2014-09,66833,
2014-10,67938,
2014-11,70312,
