"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.SE.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.SE.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Sweden,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:20,
2009-09,1972,
2009-10,1983,
2009-11,1957,
2009-12,1887,
2010-01,1900,
2010-02,1928,
2010-03,2069,
2010-04,2194,
2010-05,2146,
2010-06,2222,
2010-07,2234,
2010-08,2279,
2010-09,2381,
2010-10,2417,
2010-11,2455,
2010-12,2501,
2011-01,2482,
2011-02,2498,
2011-03,2442,
2011-04,2433,
2011-05,2435,
2011-06,2311,
2011-07,2283,
2011-08,2186,
2011-09,2109,
2011-10,2178,
2011-11,2129,
2011-12,2200,
2012-01,2294,
2012-02,2406,
2012-03,2430,
2012-04,2380,
2012-05,2342,
2012-06,2506,
2012-07,2764,
2012-08,2646,
2012-09,2666,
2012-10,2589,
2012-11,2696,
2012-12,2766,
2013-01,2759,
2013-02,2743,
2013-03,2848,
2013-04,2835,
2013-05,2871,
2013-06,2759,
2013-07,2824,
2013-08,2757,
2013-09,2852,
2013-10,2926,
2013-11,2931,
2013-12,2877,
2014-01,2846,
2014-02,2959,
2014-03,2956,
2014-04,2941,
2014-05,2853,
2014-06,2824,
2014-07,2745,
2014-08,2813,
2014-09,2804,
2014-10,2809,
2014-11,2838,
