"",BBK01.OEHM04V,BBK01.OEHM04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:49,
2002-01,0.560,
2002-04,0.663,
2002-07,0.412,
2002-10,0.611,
2003-01,0.472,
2003-04,0.343,
2003-07,0.542,
2003-10,0.593,
2004-01,0.430,
2004-04,0.382,
2004-07,0.343,
2004-10,0.513,
2005-01,0.412,
2005-04,0.403,
2005-07,0.404,
2005-10,0.527,
2006-01,0.401,
2006-04,0.754,
2006-07,0.329,
2006-10,0.741,
2007-01,0.777,
2007-04,0.612,
2007-07,0.598,
2007-10,0.849,
2008-01,0.690,
2008-04,0.699,
2008-07,0.725,
2008-10,1.016,
2009-01,0.435,
2009-04,0.424,
2009-07,0.320,
2009-10,0.461,
2010-01,0.369,
2010-04,0.418,
2010-07,0.389,
2010-10,0.433,
2011-01,0.364,
2011-04,0.472,
2011-07,0.767,
2011-10,0.495,
2012-01,0.309,
2012-04,0.651,
2012-07,0.639,
2012-10,0.736,
2013-01,0.678,
2013-04,0.631,
2013-07,0.577,
2013-10,0.756,
2014-01,0.777,
2014-04,0.915,
2014-07,0.865,
