"",BBFB1.Q.N.DE.S3.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:36,
1991-01,584.677,
1991-04,619.019,
1991-07,650.316,
1991-10,809.289,
1992-01,582.823,
1992-04,715.831,
1992-07,623.701,
1992-10,593.569,
1993-01,569.501,
1993-04,570.016,
1993-07,594.995,
1993-10,583.848,
1994-01,484.054,
1994-04,586.570,
1994-07,609.416,
1994-10,520.349,
1995-01,458.160,
1995-04,556.189,
1995-07,527.216,
1995-10,442.680,
1996-01,466.744,
1996-04,552.045,
1996-07,585.330,
1996-10,589.095,
1997-01,491.856,
1997-04,624.958,
1997-07,614.321,
1997-10,627.760,
1998-01,540.944,
1998-04,664.296,
1998-07,578.546,
1998-10,529.723,
1999-01,511.117,
1999-04,674.568,
1999-07,843.688,
1999-10,901.928,
2000-01,908.812,
2000-04,1161.289,
2000-07,1326.808,
2000-10,1296.565,
2001-01,1028.359,
2001-04,1018.408,
2001-07,1155.872,
2001-10,857.552,
2002-01,815.613,
2002-04,928.862,
2002-07,1024.062,
2002-10,869.790,
2003-01,911.566,
2003-04,843.872,
2003-07,754.846,
2003-10,858.373,
2004-01,714.984,
2004-04,772.686,
2004-07,847.966,
2004-10,990.072,
2005-01,692.749,
2005-04,791.221,
2005-07,1193.338,
2005-10,1219.523,
2006-01,1109.037,
2006-04,1262.272,
2006-07,1412.452,
2006-10,1268.136,
2007-01,1190.100,
2007-04,1265.165,
2007-07,1258.023,
2007-10,1607.890,
2008-01,1522.088,
2008-04,1792.716,
2008-07,2021.831,
2008-10,820.422,
2009-01,845.008,
2009-04,1046.243,
2009-07,1254.786,
2009-10,1247.107,
2010-01,1015.690,
2010-04,1361.812,
2010-07,1575.247,
2010-10,1618.511,
2011-01,1639.168,
2011-04,1929.389,
2011-07,2145.187,
2011-10,1916.956,
2012-01,1826.442,
2012-04,1580.019,
2012-07,1948.923,
2012-10,1897.788,
2013-01,1869.568,
2013-04,1817.077,
2013-07,2418.303,
2013-10,1999.071,
2014-01,1718.902,Provisional value
2014-04,1517.899,Provisional value
2014-07,1658.195,Provisional value
