"",BBK01.OELI04O,BBK01.OELI04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:47,
2002-01,3.840,
2002-04,3.786,
2002-07,3.815,
2002-10,3.810,
2003-01,3.784,
2003-04,3.659,
2003-07,3.629,
2003-10,3.641,
2004-01,3.537,
2004-04,3.384,
2004-07,3.356,
2004-10,3.404,
2005-01,3.389,
2005-04,3.272,
2005-07,3.288,
2005-10,3.423,
2006-01,3.446,
2006-04,3.434,
2006-07,3.559,
2006-10,3.790,
2007-01,4.036,
2007-04,4.489,
2007-07,4.662,
2007-10,5.188,
2008-01,5.317,
2008-04,5.742,
2008-07,6.521,
2008-10,7.489,
2009-01,6.812,
2009-04,6.209,
2009-07,5.216,
2009-10,4.472,
2010-01,3.673,
2010-04,3.332,
2010-07,3.312,
2010-10,3.432,
2011-01,3.372,
2011-04,3.456,
2011-07,3.594,
2011-10,3.566,
2012-01,3.432,
2012-04,3.343,
2012-07,3.166,
2012-10,2.982,
2013-01,2.745,
2013-04,2.579,
2013-07,2.576,
2013-10,2.420,
2014-01,2.472,
2014-04,2.577,
2014-07,2.624,
