"",BBK01.OELO03T,BBK01.OELO03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:51,
2002-01,0.156,
2002-04,0.193,
2002-07,0.183,
2002-10,0.163,
2003-01,0.172,
2003-04,0.168,
2003-07,0.150,
2003-10,0.169,
2004-01,0.180,
2004-04,0.151,
2004-07,0.170,
2004-10,0.162,
2005-01,0.170,
2005-04,0.162,
2005-07,0.140,
2005-10,0.146,
2006-01,0.201,
2006-04,0.173,
2006-07,0.155,
2006-10,0.186,
2007-01,0.234,
2007-04,0.167,
2007-07,0.168,
2007-10,0.158,
2008-01,0.201,
2008-04,0.183,
2008-07,0.188,
2008-10,0.208,
2009-01,0.186,
2009-04,0.195,
2009-07,0.181,
2009-10,0.163,
2010-01,0.199,
2010-04,0.166,
2010-07,0.149,
2010-10,0.143,
2011-01,0.146,
2011-04,0.141,
2011-07,0.144,
2011-10,0.141,
2012-01,0.150,
2012-04,0.142,
2012-07,0.129,
2012-10,0.141,
2013-01,0.155,
2013-04,0.122,
2013-07,0.113,
2013-10,0.124,
2014-01,0.126,
2014-04,0.130,
2014-07,0.185,
