"",BBK01.PQU354,BBK01.PQU354_FLAGS
"",Lending to domestic enterprises / Total / Building and loan associations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:18,
1999-01,1.088,
1999-04,1.031,
1999-07,1.018,
1999-10,0.974,
2000-01,0.942,
2000-04,0.990,
2000-07,1.007,
2000-10,1.028,
2001-01,1.086,
2001-04,1.074,
2001-07,1.093,
2001-10,1.131,
2002-01,1.174,
2002-04,1.153,
2002-07,1.151,
2002-10,1.179,
2003-01,1.213,
2003-04,1.187,
2003-07,1.158,
2003-10,1.290,
2004-01,1.405,
2004-04,1.153,
2004-07,1.151,
2004-10,1.204,
2005-01,1.099,
2005-04,1.046,
2005-07,1.029,
2005-10,1.016,
2006-01,0.987,
2006-04,0.886,
2006-07,0.860,
2006-10,1.163,
2007-01,1.164,
2007-04,1.126,
2007-07,1.127,
2007-10,0.789,
2008-01,0.776,
2008-04,0.771,
2008-07,0.799,
2008-10,0.820,
2009-01,0.869,
2009-04,0.852,
2009-07,0.960,
2009-10,0.981,
2010-01,1.018,
2010-04,1.039,
2010-07,0.970,
2010-10,0.970,
2011-01,0.988,
2011-04,0.977,
2011-07,0.996,
2011-10,1.072,
2012-01,1.166,
2012-04,1.185,
2012-07,1.180,
2012-10,1.219,
2013-01,1.419,
2013-04,1.447,
2013-07,1.451,
2013-10,1.515,
2014-01,1.524,
2014-04,1.563,
2014-07,1.543,
2014-10,1.458,
