"",BBK01.OELK03V,BBK01.OELK03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:29,
2002-01,0.154,
2002-04,0.149,
2002-07,0.164,
2002-10,0.171,
2003-01,0.166,
2003-04,0.161,
2003-07,0.169,
2003-10,0.162,
2004-01,0.156,
2004-04,0.143,
2004-07,0.144,
2004-10,0.151,
2005-01,0.139,
2005-04,0.126,
2005-07,0.128,
2005-10,0.128,
2006-01,0.130,
2006-04,0.124,
2006-07,0.128,
2006-10,0.125,
2007-01,0.108,
2007-04,0.100,
2007-07,0.104,
2007-10,0.113,
2008-01,0.111,
2008-04,0.108,
2008-07,0.109,
2008-10,0.131,
2009-01,0.121,
2009-04,0.108,
2009-07,0.104,
2009-10,0.107,
2010-01,0.098,
2010-04,0.096,
2010-07,0.081,
2010-10,0.087,
2011-01,0.091,
2011-04,0.098,
2011-07,0.103,
2011-10,0.109,
2012-01,0.100,
2012-04,0.099,
2012-07,0.094,
2012-10,0.131,
2013-01,0.126,
2013-04,0.127,
2013-07,0.139,
2013-10,0.144,
2014-01,0.147,
2014-04,0.143,
2014-07,0.140,
