"",BBEX3.M.FJD.USD.CM.AA.A01,BBEX3.M.FJD.USD.CM.AA.A01_FLAGS
"",Exchange rates for the US dollar in Fiji / FJD 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:21,
1990-01,0.6751,
1990-02,0.6696,
1990-03,0.6573,
1990-04,0.6556,
1990-05,0.6683,
1990-06,0.6750,
1990-07,0.6863,
1990-08,0.7050,
1990-09,0.7067,
1990-10,0.7084,
1990-11,0.7052,
1990-12,0.6938,
1991-01,0.7044,
1991-02,0.7016,
1991-03,0.6817,
1991-04,0.6789,
1991-05,0.6767,
1991-06,0.6730,
1991-07,0.6778,
1991-08,0.6808,
1991-09,0.6871,
1991-10,0.6835,
1991-11,0.6878,
1991-12,0.6875,
1992-01,0.6786,
1992-02,0.6769,
1992-03,0.6764,
1992-04,0.6759,
1992-05,0.6794,
1992-06,0.6875,
1992-07,0.6865,
1992-08,0.6850,
1992-09,0.6737,
1992-10,0.6532,
1992-11,0.6447,
1992-12,0.6445,
1993-01,0.6428,
1993-02,0.6480,
1993-03,0.6592,
1993-04,0.6702,
1993-05,0.6673,
1993-06,0.6576,
1993-07,0.6615,
1993-08,0.6622,
1993-09,0.6556,
1993-10,0.6576,
1993-11,0.6534,
1993-12,0.6575,
1994-01,0.6719,
1994-02,0.6807,
1994-03,0.6731,
1994-04,0.6813,
1994-05,0.6877,
1994-06,0.6925,
1994-07,0.6967,
1994-08,0.6992,
1994-09,0.7024,
1994-10,0.7094,
1994-11,0.7119,
1994-12,0.7182,
1995-01,0.7162,
1995-02,0.7112,
1995-03,0.7217,
1995-04,0.7357,
1995-05,0.7324,
1995-06,0.7285,
1995-07,0.7307,
1995-08,0.7137,
1995-09,0.7164,
1995-10,0.7163,
1995-11,0.7100,
1995-12,0.7081,
1996-01,0.7041,
1996-02,0.7143,
1996-03,0.7186,
1996-04,0.7224,
1996-05,0.7227,
1996-06,0.7207,
1996-07,0.7217,
1996-08,0.7246,
1996-09,0.7241,
1996-10,0.7274,
1996-11,0.7370,
1996-12,0.7311,
1997-01,0.7110,
1997-02,0.7159,
1997-03,0.7174,
1997-04,0.7153,
1997-05,0.7164,
1997-06,0.7122,
1997-07,0.7012,
1997-08,0.6963,
1997-09,0.6879,
1997-10,0.6812,
1997-11,0.6712,
1997-12,0.6540,
1998-01,0.5325,comment
1998-02,0.5301,
1998-03,0.5234,
1998-04,0.5190,
1998-05,0.5048,
1998-06,0.5037,comment
1998-07,0.4965,
1998-08,0.4846,
1998-09,0.4974,
1998-10,0.5150,
1998-11,0.5141,
1998-12,0.5120,
1999-01,0.5164,
1999-02,0.5107,
1999-03,0.5089,
1999-04,0.5220,
1999-05,0.5136,
1999-06,0.5135,
1999-07,0.5172,
1999-08,0.5102,
1999-09,0.5190,
1999-10,0.5160,
1999-11,0.5126,
1999-12,0.5172,
2000-01,0.5034,
2000-02,0.4951,
2000-03,0.4980,
2000-04,0.4847,
2000-05,0.4790,
2000-06,0.4897,
2000-07,0.4798,
2000-08,0.4715,
2000-09,0.4581,
2000-10,0.4473,
2000-11,0.4472,
2000-12,0.4660,
2001-01,0.4635,
2001-02,0.4551,
2001-03,0.4371,
2001-04,0.4426,
2001-05,0.4434,
2001-06,0.4372,
2001-07,0.4400,
2001-08,0.4580,
2001-09,0.4369,
2001-10,0.4430,
2001-11,0.4453,
2001-12,0.4416,
2002-01,0.4379,
2002-02,0.4413,
2002-03,0.4491,
2002-04,0.4580,
2002-05,0.4748,
2002-06,0.4813,
2002-07,0.4711,
2002-08,0.4748,
2002-09,0.4706,
2002-10,0.4759,
2002-11,0.4813,
2002-12,0.4928,
2003-01,0.5066,
2003-02,0.5145,
2003-03,0.5106,
2003-04,0.5209,
2003-05,0.5405,
2003-06,0.5425,
2003-07,0.5371,
2003-08,0.5304,
2003-09,0.5513,
2003-10,0.5627,
2003-11,0.5744,
2003-12,0.5892,
2004-01,0.5951,
2004-02,0.5995,
2004-03,0.5892,
2004-04,0.5706,
2004-05,0.5735,
2004-06,0.5647,
2004-07,0.5664,
2004-08,0.5698,
2004-09,0.5795,
2004-10,0.5940,
2004-11,0.6155,
2004-12,0.6164,
2005-01,0.6096,
2005-02,0.6159,
2005-03,0.6063,
2005-04,0.6127,
2005-05,0.6012,
2005-06,0.5961,
2005-07,0.5933,
2005-08,0.5916,
2005-09,0.5935,
2005-10,0.5923,
2005-11,0.5860,
2005-12,0.5816,
2006-01,0.5873,
2006-02,0.5793,
2006-03,0.5660,
2006-04,0.5847,
2006-05,0.5899,
2006-06,0.5742,
2006-07,0.5860,
2006-08,0.5901,
2006-09,0.5870,
2006-10,0.5946,
2006-11,0.5981,comment
2006-12,0.6063,
2007-01,0.6005,
2007-02,0.6086,
2007-03,0.6152,
2007-04,0.6276,
2007-05,0.6210,
2007-06,0.6349,
2007-07,0.6394,
2007-08,0.6372,
2007-09,0.6646,
2007-10,0.6783,
2007-11,0.6740,
2007-12,0.6727,
2008-01,0.6644,
2008-02,0.6830,
2008-03,0.6767,
2008-04,0.6742,
2008-05,0.6831,
2008-06,0.6788,
2008-07,0.6676,
2008-08,0.6366,
2008-09,0.6173,
2008-10,0.5685,
2008-11,0.5561,
2008-12,0.5754,
2009-01,0.5494,
2009-02,0.5437,
2009-03,0.5638,
2009-04,0.4629,comment
2009-05,0.4829,
2009-06,0.4956,
2009-07,0.4990,
2009-08,0.5096,
2009-09,0.5218,
2009-10,0.5344,
2009-11,0.5332,
2009-12,0.5270,
2010-01,0.5244,
2010-02,0.5195,
2010-03,0.5270,
2010-04,0.5300,
2010-05,0.5055,
2010-06,0.5088,
2010-07,0.5263,
2010-08,0.5218,
2010-09,0.5440,
2010-10,0.5501,
2010-11,0.5424,
2010-12,0.5581,
2011-01,0.5538,
2011-02,0.5562,
2011-03,0.5623,
2011-04,0.5825,
2011-05,0.5784,
2011-06,0.5806,
2011-07,0.5940,
2011-08,0.5864,
2011-09,0.5533,
2011-10,0.5812,
2011-11,0.5555,
2011-12,0.5578,
2012-01,0.5753,
2012-02,0.5810,
2012-03,0.5695,
2012-04,0.5721,
2012-05,0.5446,
2012-06,0.5564,
2012-07,0.5683,
2012-08,0.5634,
2012-09,0.5731,
2012-10,0.5694,
