"",BBK01.OEXO06M,BBK01.OEXO06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:07,
2002-01,3.569,
2002-04,3.459,
2002-07,3.436,
2002-10,3.517,
2003-01,3.522,
2003-04,3.481,
2003-07,3.418,
2003-10,3.439,
2004-01,3.377,
2004-04,3.325,
2004-07,3.263,
2004-10,3.129,
2005-01,3.158,
2005-04,3.139,
2005-07,3.063,
2005-10,3.123,
2006-01,3.121,
2006-04,3.109,
2006-07,3.070,
2006-10,3.111,
2007-01,3.261,
2007-04,3.308,
2007-07,3.345,
2007-10,3.525,
2008-01,3.548,
2008-04,3.505,
2008-07,3.191,
2008-10,3.729,
2009-01,3.705,
2009-04,3.685,
2009-07,3.632,
2009-10,3.678,
2010-01,3.567,
2010-04,3.705,
2010-07,3.697,
2010-10,4.004,
2011-01,4.473,
2011-04,4.431,
2011-07,4.446,
2011-10,4.508,
2012-01,4.391,
2012-04,4.373,
2012-07,4.305,
2012-10,4.247,
2013-01,4.080,
2013-04,3.951,
2013-07,3.920,
2013-10,3.943,
2014-01,3.921,
2014-04,3.885,
2014-07,4.051,
