"",BBDE1.M.DE.Y.AEM1.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AEM1.A2P320000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:51,
2010-01,86.8,
2010-02,89.0,
2010-03,93.7,
2010-04,97.6,
2010-05,99.0,
2010-06,99.5,
2010-07,100.4,
2010-08,103.6,
2010-09,103.3,
2010-10,104.4,
2010-11,109.5,
2010-12,108.1,
2011-01,112.4,
2011-02,112.0,
2011-03,109.9,
2011-04,109.0,
2011-05,108.8,
2011-06,107.7,
2011-07,110.4,
2011-08,110.4,
2011-09,109.6,
2011-10,110.0,
2011-11,108.4,
2011-12,108.6,
2012-01,108.3,
2012-02,110.3,
2012-03,110.5,
2012-04,110.3,
2012-05,111.4,
2012-06,108.4,
2012-07,111.0,
2012-08,107.9,
2012-09,108.2,
2012-10,109.9,
2012-11,108.6,
2012-12,110.3,
2013-01,109.0,
2013-02,110.0,
2013-03,111.3,
2013-04,111.3,
2013-05,109.9,
2013-06,113.6,
2013-07,111.5,
2013-08,113.9,
2013-09,113.8,
2013-10,113.3,
2013-11,115.4,
2013-12,114.5,
2014-01,117.7,
2014-02,116.6,
2014-03,116.7,
2014-04,116.8,
2014-05,112.6,
2014-06,114.0,
2014-07,117.5,
2014-08,111.6,
2014-09,116.6,
2014-10,123.0,
2014-11,120.6,
2014-12,122.8,Provisional value
