"",BBFB1.Q.N.DE.W03100.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:32,
1991-01,-1215.873,
1991-04,-1000.199,
1991-07,-1141.387,
1991-10,-1159.447,
1992-01,-1009.168,
1992-04,-886.619,
1992-07,-763.015,
1992-10,-895.008,
1993-01,-904.707,
1993-04,-953.192,
1993-07,-1019.534,
1993-10,-1321.043,
1994-01,-1014.418,
1994-04,-910.378,
1994-07,-1061.311,
1994-10,-1131.259,
1995-01,-779.289,
1995-04,-938.354,
1995-07,-801.348,
1995-10,-932.328,
1996-01,-793.496,
1996-04,-773.274,
1996-07,-849.786,
1996-10,-823.946,
1997-01,-715.559,
1997-04,-740.967,
1997-07,-794.263,
1997-10,-814.052,
1998-01,-782.535,
1998-04,-453.978,
1998-07,-771.303,
1998-10,-835.980,
1999-01,-623.757,
1999-04,-730.656,
1999-07,-871.452,
1999-10,-961.641,
2000-01,-870.858,
2000-04,-683.538,
2000-07,-796.042,
2000-10,-928.137,
2001-01,-780.271,
2001-04,-878.294,
2001-07,-738.883,
2001-10,-1065.017,
2002-01,-888.053,
2002-04,-956.328,
2002-07,-868.855,
2002-10,-1057.810,
2003-01,-1026.374,
2003-04,-866.714,
2003-07,-1195.334,
2003-10,-959.706,
2004-01,-1075.872,
2004-04,-1234.659,
2004-07,-1328.107,
2004-10,-1198.490,
2005-01,-1337.638,
2005-04,-1186.055,
2005-07,-1259.680,
2005-10,-1296.416,
2006-01,-1123.454,
2006-04,-1080.599,
2006-07,-1334.020,
2006-10,-1579.032,
2007-01,-1366.768,
2007-04,-1304.161,
2007-07,-1332.418,
2007-10,-1257.222,
2008-01,-1307.323,
2008-04,-1154.669,
2008-07,-1353.828,
2008-10,-1811.185,
2009-01,-1379.507,
2009-04,-941.250,
2009-07,-1081.014,
2009-10,-1174.170,
2010-01,-1125.446,
2010-04,-1211.935,
2010-07,-1258.136,
2010-10,-1404.764,
2011-01,-1290.259,
2011-04,-958.705,
2011-07,-970.111,
2011-10,-1242.916,
2012-01,-1051.351,
2012-04,-1052.455,
2012-07,-1155.987,
2012-10,-1170.341,
2013-01,-1100.322,
2013-04,-1087.590,
2013-07,-1202.804,
2013-10,-1444.565,
2014-01,-1008.236,Provisional value
2014-04,-1173.018,Provisional value
2014-07,-1037.567,Provisional value
