"",BBK01.OEHL02S,BBK01.OEHL02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:38,
2002-01,3.304,
2002-04,3.315,
2002-07,3.295,
2002-10,3.414,
2003-01,3.397,
2003-04,3.397,
2003-07,3.412,
2003-10,3.493,
2004-01,3.556,
2004-04,3.549,
2004-07,3.561,
2004-10,3.682,
2005-01,3.652,
2005-04,3.628,
2005-07,3.592,
2005-10,3.698,
2006-01,3.642,
2006-04,3.579,
2006-07,3.562,
2006-10,3.569,
2007-01,3.526,
2007-04,3.522,
2007-07,3.507,
2007-10,3.535,
2008-01,3.491,
2008-04,3.501,
2008-07,3.461,
2008-10,3.574,
2009-01,3.902,
2009-04,4.224,
2009-07,4.212,
2009-10,4.432,
2010-01,4.613,
2010-04,4.715,
2010-07,4.608,
2010-10,4.691,
2011-01,4.609,
2011-04,4.668,
2011-07,4.675,
2011-10,4.751,
2012-01,4.696,
2012-04,4.751,
2012-07,4.884,
2012-10,5.013,
2013-01,5.082,
2013-04,5.181,
2013-07,5.198,
2013-10,5.317,
2014-01,5.391,
2014-04,5.490,
2014-07,5.597,
