"",BBFN1.M.DE.N.1.L.G9.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.G9.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:23,
1995-01,13.704,
1995-02,14.232,
1995-03,13.883,
1995-04,14.063,
1995-05,13.913,
1995-06,14.242,
1995-07,14.400,
1995-08,14.545,
1995-09,14.634,
1995-10,14.487,
1995-11,14.515,
1995-12,13.975,
1996-01,13.854,
1996-02,13.862,
1996-03,14.148,
1996-04,14.055,
1996-05,14.051,
1996-06,14.313,
1996-07,14.656,
1996-08,14.333,
1996-09,14.986,
1996-10,14.499,
1996-11,14.216,
1996-12,14.568,
1997-01,14.293,
1997-02,14.393,
1997-03,13.925,
1997-04,13.887,
1997-05,13.444,
1997-06,13.610,
1997-07,13.505,
1997-08,13.538,
1997-09,13.387,
1997-10,12.815,
1997-11,13.092,
1997-12,13.760,
1998-01,13.722,
1998-02,13.802,
1998-03,13.799,
1998-04,13.804,
1998-05,14.063,
1998-06,14.311,
1998-07,13.358,
1998-08,13.592,
1998-09,13.305,
1998-10,12.072,
1998-11,11.814,
1998-12,12.424,
1999-01,12.521,
1999-02,12.917,
1999-03,12.825,
1999-04,14.062,
1999-05,14.027,
1999-06,14.248,
1999-07,13.525,
1999-08,14.539,
1999-09,14.528,
1999-10,15.762,
1999-11,15.860,
1999-12,16.095,
2000-01,16.364,
2000-02,16.417,
2000-03,18.115,
2000-04,21.423,
2000-05,20.931,
2000-06,21.767,
2000-07,21.862,
2000-08,21.841,
2000-09,23.194,
2000-10,23.961,
2000-11,24.065,
2000-12,22.927,
2001-01,26.009,
2001-02,25.332,
2001-03,24.116,
2001-04,24.295,
2001-05,21.540,
2001-06,22.297,
2001-07,22.072,
2001-08,22.130,
2001-09,22.862,
2001-10,22.339,
2001-11,21.622,
2001-12,21.184,
2002-01,18.708,
2002-02,18.316,
2002-03,18.072,
2002-04,20.993,
2002-05,23.024,
2002-06,22.380,
2002-07,21.890,
2002-08,22.250,
2002-09,23.156,
2002-10,23.702,
2002-11,23.185,
2002-12,24.675,
2003-01,27.755,
2003-02,28.749,
2003-03,30.236,
2003-04,30.298,
2003-05,30.306,
2003-06,30.545,
2003-07,30.368,
2003-08,30.503,
2003-09,30.975,
2003-10,31.130,
2003-11,31.886,
2003-12,29.335,
2004-01,28.657,
2004-02,30.021,
2004-03,30.123,
2004-04,31.147,
2004-05,26.273,
2004-06,25.924,
2004-07,25.568,
2004-08,25.787,
2004-09,25.915,
2004-10,26.001,
2004-11,24.242,
2004-12,24.019,
2005-01,24.109,
2005-02,24.349,
2005-03,23.900,
2005-04,23.997,
2005-05,24.736,
2005-06,26.859,
2005-07,27.348,
2005-08,27.926,
2005-09,28.293,
2005-10,26.437,
2005-11,26.969,
2005-12,28.444,
2006-01,29.292,
2006-02,28.847,
2006-03,29.415,
2006-04,29.084,
2006-05,29.324,
2006-06,27.333,
2006-07,27.125,
2006-08,25.328,
2006-09,25.828,
2006-10,25.892,
2006-11,26.637,
2006-12,30.744,
2007-01,32.311,
2007-02,34.805,
2007-03,31.202,
2007-04,31.106,
2007-05,35.182,
2007-06,43.618,
2007-07,38.512,
2007-08,40.648,
2007-09,37.871,
2007-10,40.648,
2007-11,40.566,
2007-12,33.681,
2008-01,31.144,
2008-02,35.710,
2008-03,35.411,
2008-04,38.209,
2008-05,32.912,
2008-06,43.589,
2008-07,38.352,
2008-08,38.897,
2008-09,35.599,
2008-10,42.240,
2008-11,40.860,
2008-12,40.578,
2009-01,30.056,
2009-02,30.835,
2009-03,32.434,
2009-04,33.079,
2009-05,30.141,
2009-06,30.434,
2009-07,31.531,
2009-08,32.561,
2009-09,32.878,
2009-10,32.116,
2009-11,32.574,
2009-12,37.791,
2010-01,29.026,
2010-02,29.110,
2010-03,32.976,
2010-04,30.003,
2010-05,29.872,
2010-06,31.645,
2010-07,32.406,
2010-08,31.947,
2010-09,31.755,
2010-10,31.701,
2010-11,31.786,
2010-12,34.316,
2011-01,34.867,
2011-02,33.720,
2011-03,35.457,
2011-04,35.086,
2011-05,35.479,
2011-06,35.650,
2011-07,36.183,
2011-08,38.620,
2011-09,41.298,
2011-10,41.646,
2011-11,43.286,
2011-12,44.285,
2012-01,39.963,
2012-02,40.429,
2012-03,41.972,
2012-04,44.493,
2012-05,44.480,
2012-06,45.547,
2012-07,45.309,
2012-08,43.388,
2012-09,44.476,
2012-10,44.578,
2012-11,43.337,
2012-12,7.175,
2013-01,6.862,
2013-02,6.322,
2013-03,6.364,
2013-04,6.278,
2013-05,6.241,
2013-06,6.438,
2013-07,8.304,
2013-08,8.094,
2013-09,8.138,
2013-10,8.150,
2013-11,8.218,
2013-12,8.165,
2014-01,8.111,
2014-02,8.247,
2014-03,8.138,
2014-04,8.129,
2014-05,8.097,
2014-06,7.875,
2014-07,7.950,
2014-08,7.922,
2014-09,8.039,
2014-10,7.951,
2014-11,7.689,
2014-12,7.137,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
