"",BBK01.OEAF18M,BBK01.OEAF18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:31,
2002-01,0.046,
2002-04,0.046,
2002-07,0.035,
2002-10,0.044,
2003-01,0.049,
2003-04,0.048,
2003-07,0.041,
2003-10,0.045,
2004-01,0.042,
2004-04,0.044,
2004-07,0.050,
2004-10,0.044,
2005-01,0.038,
2005-04,0.058,
2005-07,0.040,
2005-10,0.049,
2006-01,0.046,
2006-04,0.047,
2006-07,0.046,
2006-10,0.047,
2007-01,0.041,
2007-04,0.036,
2007-07,0.040,
2007-10,0.051,
2008-01,0.044,
2008-04,0.039,
2008-07,0.044,
2008-10,0.043,
2009-01,0.045,
2009-04,0.065,
2009-07,0.041,
2009-10,0.045,
2010-01,0.052,
2010-04,0.037,
2010-07,0.033,
2010-10,0.030,
2011-01,0.031,
2011-04,0.028,
2011-07,0.032,
2011-10,0.040,
2012-01,0.034,
2012-04,0.036,
2012-07,0.039,
2012-10,0.036,
2013-01,0.033,
2013-04,0.037,
2013-07,0.031,
2013-10,0.035,
2014-01,0.036,
2014-04,0.040,
2014-07,0.028,
