"",BBK01.OEAB03Q,BBK01.OEAB03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:04,
2002-01,11.094,
2002-04,10.953,
2002-07,10.984,
2002-10,10.728,
2003-01,10.484,
2003-04,10.432,
2003-07,10.211,
2003-10,10.227,
2004-01,9.321,
2004-04,7.281,
2004-07,6.826,
2004-10,6.726,
2005-01,6.428,
2005-04,6.465,
2005-07,6.563,
2005-10,6.421,
2006-01,6.305,
2006-04,6.382,
2006-07,6.376,
2006-10,7.904,
2007-01,8.320,
2007-04,8.412,
2007-07,8.948,
2007-10,8.171,
2008-01,7.758,
2008-04,9.481,
2008-07,9.469,
2008-10,9.424,
2009-01,9.184,
2009-04,9.788,
2009-07,9.148,
2009-10,10.649,
2010-01,11.493,
2010-04,10.760,
2010-07,8.249,
2010-10,7.792,
2011-01,7.700,
2011-04,7.211,
2011-07,4.845,
2011-10,4.892,
2012-01,4.860,
2012-04,4.938,
2012-07,4.644,
2012-10,6.110,
2013-01,5.917,
2013-04,5.394,
2013-07,5.244,
2013-10,6.367,
2014-01,5.897,
2014-04,6.116,
2014-07,6.154,
