"",BBFB1.Q.N.DE.IE.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:34,
1991-01,385.247,
1991-04,356.494,
1991-07,382.175,
1991-10,356.488,
1992-01,403.392,
1992-04,358.392,
1992-07,358.548,
1992-10,374.026,
1993-01,396.742,
1993-04,345.782,
1993-07,347.736,
1993-10,375.341,
1994-01,447.749,
1994-04,477.212,
1994-07,365.164,
1994-10,383.312,
1995-01,411.803,
1995-04,390.279,
1995-07,487.689,
1995-10,567.090,
1996-01,501.599,
1996-04,328.279,
1996-07,371.984,
1996-10,413.227,
1997-01,543.869,
1997-04,506.468,
1997-07,493.517,
1997-10,576.025,
1998-01,611.073,
1998-04,597.751,
1998-07,562.100,
1998-10,617.861,
1999-01,736.240,
1999-04,755.697,
1999-07,656.216,
1999-10,776.620,
2000-01,991.041,
2000-04,884.905,
2000-07,911.097,
2000-10,1153.053,
2001-01,1200.553,
2001-04,1041.770,
2001-07,957.283,
2001-10,1109.081,
2002-01,1097.962,
2002-04,1192.945,
2002-07,992.158,
2002-10,1222.417,
2003-01,1023.503,
2003-04,973.780,
2003-07,979.777,
2003-10,1096.119,
2004-01,1110.702,
2004-04,1210.335,
2004-07,1221.081,
2004-10,1291.126,
2005-01,1377.182,
2005-04,1205.439,
2005-07,1364.842,
2005-10,1432.167,
2006-01,1540.415,
2006-04,1355.418,
2006-07,1319.896,
2006-10,1567.949,
2007-01,1831.586,
2007-04,1599.879,
2007-07,1429.318,
2007-10,1881.074,
2008-01,1703.093,
2008-04,1526.702,
2008-07,1368.143,
2008-10,1166.136,
2009-01,980.426,
2009-04,798.239,
2009-07,865.400,
2009-10,1248.548,
2010-01,972.910,
2010-04,1071.683,
2010-07,1067.697,
2010-10,1096.958,
2011-01,1247.412,
2011-04,1111.515,
2011-07,856.005,
2011-10,1057.902,
2012-01,1111.617,
2012-04,998.048,
2012-07,1035.383,
2012-10,1127.193,
2013-01,1388.676,
2013-04,1244.601,
2013-07,1172.566,
2013-10,1325.577,
2014-01,1430.905,Provisional value
2014-04,1314.265,Provisional value
2014-07,1201.738,Provisional value
