"",BBK01.OEAH10J,BBK01.OEAH10J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:59,
2002-01,0.604,
2002-04,0.594,
2002-07,0.580,
2002-10,0.572,
2003-01,0.586,
2003-04,0.594,
2003-07,0.576,
2003-10,0.539,
2004-01,0.543,
2004-04,0.529,
2004-07,0.511,
2004-10,0.525,
2005-01,0.514,
2005-04,0.490,
2005-07,0.485,
2005-10,0.478,
2006-01,0.459,
2006-04,0.445,
2006-07,0.439,
2006-10,0.428,
2007-01,0.405,
2007-04,0.409,
2007-07,0.395,
2007-10,0.388,
2008-01,0.398,
2008-04,0.376,
2008-07,0.369,
2008-10,0.367,
2009-01,0.369,
2009-04,0.355,
2009-07,0.355,
2009-10,0.387,
2010-01,0.417,
2010-04,0.453,
2010-07,0.453,
2010-10,0.476,
2011-01,0.475,
2011-04,0.496,
2011-07,0.512,
2011-10,0.507,
2012-01,0.520,
2012-04,0.514,
2012-07,0.512,
2012-10,0.492,
2013-01,0.429,
2013-04,0.430,
2013-07,0.420,
2013-10,0.390,
2014-01,0.373,
2014-04,0.354,
2014-07,0.336,
