"",BBK01.OELM01U,BBK01.OELM01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:31,
2002-01,0.033,
2002-04,0.028,
2002-07,0.029,
2002-10,0.033,
2003-01,0.032,
2003-04,0.041,
2003-07,0.041,
2003-10,0.041,
2004-01,0.037,
2004-04,0.047,
2004-07,0.043,
2004-10,0.045,
2005-01,0.052,
2005-04,0.052,
2005-07,0.055,
2005-10,0.067,
2006-01,0.055,
2006-04,0.066,
2006-07,0.057,
2006-10,0.055,
2007-01,0.046,
2007-04,0.058,
2007-07,0.061,
2007-10,0.064,
2008-01,0.061,
2008-04,0.058,
2008-07,0.064,
2008-10,0.073,
2009-01,0.073,
2009-04,0.062,
2009-07,0.069,
2009-10,0.074,
2010-01,0.064,
2010-04,0.067,
2010-07,0.057,
2010-10,0.055,
2011-01,0.057,
2011-04,0.057,
2011-07,0.048,
2011-10,0.061,
2012-01,0.064,
2012-04,0.078,
2012-07,0.082,
2012-10,0.099,
2013-01,0.110,
2013-04,0.108,
2013-07,0.115,
2013-10,0.121,
2014-01,0.120,
2014-04,0.113,
2014-07,0.123,
