"",BBK01.OEHJ09H,BBK01.OEHJ09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:03,
2002-01,0.072,
2002-04,0.069,
2002-07,0.063,
2002-10,0.068,
2003-01,0.062,
2003-04,0.060,
2003-07,0.055,
2003-10,0.060,
2004-01,0.060,
2004-04,0.059,
2004-07,0.060,
2004-10,0.067,
2005-01,0.066,
2005-04,0.061,
2005-07,0.060,
2005-10,0.070,
2006-01,0.066,
2006-04,0.068,
2006-07,0.075,
2006-10,0.079,
2007-01,0.082,
2007-04,0.073,
2007-07,0.064,
2007-10,0.063,
2008-01,0.056,
2008-04,0.050,
2008-07,0.042,
2008-10,0.044,
2009-01,0.051,
2009-04,0.057,
2009-07,0.058,
2009-10,0.076,
2010-01,0.081,
2010-04,0.061,
2010-07,0.046,
2010-10,0.037,
2011-01,0.035,
2011-04,0.034,
2011-07,0.029,
2011-10,0.025,
2012-01,0.024,
2012-04,0.022,
2012-07,0.023,
2012-10,0.024,
2013-01,0.025,
2013-04,0.019,
2013-07,0.024,
2013-10,0.025,
2014-01,0.024,
2014-04,0.025,
2014-07,0.024,
