"",BBK01.OECB03Q,BBK01.OECB03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:25,
2002-01,0.313,
2002-04,0.261,
2002-07,0.237,
2002-10,0.242,
2003-01,0.236,
2003-04,0.255,
2003-07,0.342,
2003-10,0.323,
2004-01,0.305,
2004-04,0.292,
2004-07,0.254,
2004-10,0.407,
2005-01,0.424,
2005-04,0.422,
2005-07,0.500,
2005-10,0.452,
2006-01,0.445,
2006-04,0.456,
2006-07,0.418,
2006-10,0.415,
2007-01,0.472,
2007-04,0.411,
2007-07,0.381,
2007-10,0.391,
2008-01,0.351,
2008-04,0.337,
2008-07,0.333,
2008-10,0.362,
2009-01,0.360,
2009-04,0.368,
2009-07,0.348,
2009-10,0.363,
2010-01,0.337,
2010-04,0.337,
2010-07,0.348,
2010-10,0.360,
2011-01,0.351,
2011-04,0.312,
2011-07,0.335,
2011-10,0.350,
2012-01,0.342,
2012-04,0.342,
2012-07,0.337,
2012-10,0.339,
2013-01,0.374,
2013-04,0.369,
2013-07,0.372,
2013-10,0.403,
2014-01,0.393,
2014-04,0.389,
2014-07,0.376,
