"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CY.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CY.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Cyprus / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:10,
2009-09,46,
2009-10,40,
2009-11,40,
2009-12,42,
2010-01,49,
2010-02,62,
2010-03,58,
2010-04,58,
2010-05,41,
2010-06,41,
2010-07,41,
2010-08,38,
2010-09,40,
2010-10,81,
2010-11,63,
2010-12,62,
2011-01,55,
2011-02,53,
2011-03,52,
2011-04,36,
2011-05,34,
2011-06,23,
2011-07,18,
2011-08,12,
2011-09,11,
2011-10,12,
2011-11,12,
2011-12,11,
2012-01,7,
2012-02,5,
2012-03,5,
2012-04,5,
2012-05,4,
2012-06,2,
2012-07,2,
2012-08,3,
2012-09,4,
2012-10,6,
2012-11,7,
2012-12,7,
2013-01,7,
2013-02,7,
2013-03,7,
2013-04,19,
2013-05,19,
2013-06,3,
2013-07,2,
2013-08,2,
2013-09,2,
2013-10,2,
2013-11,2,
2013-12,7,
2014-01,12,
2014-02,16,
2014-03,16,
2014-04,15,
2014-05,18,
2014-06,28,
2014-07,19,
2014-08,19,
2014-09,20,
2014-10,20,
2014-11,20,
