"",BBK01.OEYB19P,BBK01.OEYB19P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:01,
2002-01,0.011,
2002-04,0.011,
2002-07,0.010,
2002-10,0.011,
2003-01,0.012,
2003-04,0.012,
2003-07,0.013,
2003-10,0.013,
2004-01,0.013,
2004-04,0.012,
2004-07,0.013,
2004-10,0.013,
2005-01,0.013,
2005-04,0.013,
2005-07,0.013,
2005-10,0.013,
2006-01,0.013,
2006-04,0.013,
2006-07,0.012,
2006-10,0.012,
2007-01,0.013,
2007-04,0.013,
2007-07,0.014,
2007-10,0.012,
2008-01,0.012,
2008-04,0.004,
2008-07,0.004,
2008-10,0.004,
2009-01,0.004,
2009-04,0.004,
2009-07,0.004,
2009-10,0.004,
2010-01,0.004,
2010-04,0.002,
2010-07,0.012,
2010-10,0.012,
2011-01,0.012,
2011-04,0.013,
2011-07,0.013,
2011-10,0.013,
2012-01,0.015,
2012-04,0.023,
2012-07,0.017,
2012-10,0.025,
2013-01,0.035,
2013-04,0.041,
2013-07,0.037,
2013-10,0.032,
2014-01,0.031,
2014-04,0.030,
2014-07,0.030,
