"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.NO.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.NO.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Norway / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:38,
2009-09,95,
2009-10,68,
2009-11,74,
2009-12,74,
2010-01,76,
2010-02,117,
2010-03,86,
2010-04,98,
2010-05,100,
2010-06,102,
2010-07,100,
2010-08,103,
2010-09,104,
2010-10,105,
2010-11,98,
2010-12,104,
2011-01,102,
2011-02,107,
2011-03,107,
2011-04,110,
2011-05,104,
2011-06,105,
2011-07,113,
2011-08,129,
2011-09,135,
2011-10,141,
2011-11,133,
2011-12,131,
2012-01,106,
2012-02,108,
2012-03,93,
2012-04,94,
2012-05,99,
2012-06,109,
2012-07,110,
2012-08,113,
2012-09,114,
2012-10,115,
2012-11,117,
2012-12,113,
2013-01,113,
2013-02,112,
2013-03,133,
2013-04,129,
2013-05,107,
2013-06,101,
2013-07,97,
2013-08,93,
2013-09,82,
2013-10,88,
2013-11,90,
2013-12,72,
2014-01,72,
2014-02,82,
2014-03,97,
2014-04,99,
2014-05,100,
2014-06,101,
2014-07,109,
2014-08,93,
2014-09,101,
2014-10,131,
2014-11,146,
