"",BBK01.OEAC49K,BBK01.OEAC49K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:50,
2002-01,1.827,
2002-04,1.834,
2002-07,1.906,
2002-10,1.792,
2003-01,1.722,
2003-04,1.529,
2003-07,1.533,
2003-10,1.484,
2004-01,1.429,
2004-04,1.519,
2004-07,1.449,
2004-10,1.446,
2005-01,1.445,
2005-04,1.425,
2005-07,1.428,
2005-10,1.481,
2006-01,1.420,
2006-04,1.439,
2006-07,1.372,
2006-10,1.374,
2007-01,1.259,
2007-04,1.322,
2007-07,1.271,
2007-10,1.248,
2008-01,1.281,
2008-04,1.264,
2008-07,1.266,
2008-10,1.554,
2009-01,1.860,
2009-04,1.673,
2009-07,1.662,
2009-10,1.618,
2010-01,1.553,
2010-04,1.568,
2010-07,1.595,
2010-10,1.545,
2011-01,1.540,
2011-04,1.473,
2011-07,1.490,
2011-10,1.446,
2012-01,1.464,
2012-04,1.435,
2012-07,1.407,
2012-10,1.423,
2013-01,1.443,
2013-04,1.414,
2013-07,1.368,
2013-10,1.245,
2014-01,1.171,
2014-04,1.249,
2014-07,1.263,
