"",BBK01.OELJ05H,BBK01.OELJ05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:44,
2002-01,3.024,
2002-04,3.014,
2002-07,3.070,
2002-10,3.033,
2003-01,3.031,
2003-04,2.997,
2003-07,2.943,
2003-10,2.815,
2004-01,2.681,
2004-04,2.592,
2004-07,2.592,
2004-10,2.614,
2005-01,2.616,
2005-04,2.596,
2005-07,2.564,
2005-10,2.472,
2006-01,2.401,
2006-04,2.361,
2006-07,2.315,
2006-10,2.251,
2007-01,2.162,
2007-04,2.119,
2007-07,2.095,
2007-10,2.029,
2008-01,1.985,
2008-04,1.916,
2008-07,1.841,
2008-10,1.760,
2009-01,1.668,
2009-04,1.626,
2009-07,1.614,
2009-10,1.551,
2010-01,1.509,
2010-04,1.497,
2010-07,1.496,
2010-10,1.435,
2011-01,1.377,
2011-04,1.357,
2011-07,1.335,
2011-10,1.283,
2012-01,1.258,
2012-04,1.201,
2012-07,1.133,
2012-10,1.083,
2013-01,0.981,
2013-04,0.887,
2013-07,0.810,
2013-10,0.733,
2014-01,1.595,
2014-04,1.539,
2014-07,1.483,
