"",BBK01.OECJ04H,BBK01.OECJ04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:30,
2002-01,4.350,
2002-04,4.174,
2002-07,4.759,
2002-10,4.789,
2003-01,4.922,
2003-04,4.742,
2003-07,5.120,
2003-10,5.786,
2004-01,6.901,
2004-04,6.677,
2004-07,6.246,
2004-10,6.859,
2005-01,5.396,
2005-04,4.635,
2005-07,4.967,
2005-10,5.208,
2006-01,5.454,
2006-04,5.822,
2006-07,7.689,
2006-10,7.346,
2007-01,8.723,
2007-04,8.561,
2007-07,9.840,
2007-10,11.813,
2008-01,11.703,
2008-04,11.004,
2008-07,12.324,
2008-10,12.184,
2009-01,9.911,
2009-04,24.590,
2009-07,13.506,
2009-10,13.530,
2010-01,12.418,
2010-04,11.366,
2010-07,11.346,
2010-10,9.969,
2011-01,11.744,
2011-04,12.414,
2011-07,21.207,
2011-10,24.653,
2012-01,20.808,
2012-04,16.916,
2012-07,24.748,
2012-10,14.850,
2013-01,18.609,
2013-04,25.663,
2013-07,5.333,
2013-10,5.637,
2014-01,6.213,
2014-04,6.000,
2014-07,5.932,
