"",BBK01.OEAE27N,BBK01.OEAE27N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:44,
2002-01,2.285,
2002-04,2.447,
2002-07,2.380,
2002-10,2.302,
2003-01,2.155,
2003-04,2.264,
2003-07,2.227,
2003-10,2.405,
2004-01,2.191,
2004-04,2.288,
2004-07,2.277,
2004-10,2.170,
2005-01,2.173,
2005-04,2.154,
2005-07,2.371,
2005-10,2.392,
2006-01,2.273,
2006-04,2.243,
2006-07,2.200,
2006-10,2.222,
2007-01,1.760,
2007-04,1.674,
2007-07,1.531,
2007-10,1.883,
2008-01,2.005,
2008-04,1.699,
2008-07,1.334,
2008-10,1.301,
2009-01,1.134,
2009-04,1.088,
2009-07,1.121,
2009-10,1.073,
2010-01,1.216,
2010-04,1.195,
2010-07,1.225,
2010-10,1.166,
2011-01,1.239,
2011-04,1.289,
2011-07,1.391,
2011-10,1.380,
2012-01,1.359,
2012-04,1.380,
2012-07,1.360,
2012-10,1.274,
2013-01,1.257,
2013-04,1.173,
2013-07,1.187,
2013-10,1.264,
2014-01,1.251,
2014-04,1.174,
2014-07,1.198,
