"",BBK01.OEBK03N,BBK01.OEBK03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:05,
2002-01,2.424,
2002-04,2.424,
2002-07,2.503,
2002-10,2.628,
2003-01,2.513,
2003-04,2.368,
2003-07,2.294,
2003-10,2.122,
2004-01,1.962,
2004-04,1.919,
2004-07,1.955,
2004-10,1.834,
2005-01,1.784,
2005-04,1.714,
2005-07,1.802,
2005-10,1.911,
2006-01,2.065,
2006-04,2.291,
2006-07,2.372,
2006-10,2.504,
2007-01,2.555,
2007-04,2.642,
2007-07,3.050,
2007-10,3.468,
2008-01,3.580,
2008-04,3.765,
2008-07,3.947,
2008-10,3.737,
2009-01,2.831,
2009-04,2.293,
2009-07,1.917,
2009-10,1.734,
2010-01,1.503,
2010-04,1.363,
2010-07,1.230,
2010-10,1.237,
2011-01,1.518,
2011-04,1.615,
2011-07,1.818,
2011-10,1.939,
2012-01,1.639,
2012-04,1.588,
2012-07,1.510,
2012-10,1.463,
2013-01,1.400,
2013-04,1.415,
2013-07,1.411,
2013-10,1.488,
2014-01,1.668,
2014-04,1.750,
2014-07,1.795,
