"",BBFN1.M.DE.N.1.A.FR.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1990-03,1.179,
1990-04,1.178,
1990-05,1.252,
1990-06,1.332,
1990-07,1.321,
1990-08,1.334,
1990-09,1.399,
1990-10,1.425,
1990-11,1.423,
1990-12,1.288,
1991-01,1.203,
1991-02,1.191,
1991-03,1.237,
1991-04,1.176,
1991-05,1.175,
1991-06,1.160,
1991-07,1.168,
1991-08,1.176,
1991-09,1.224,
1991-10,1.226,
1991-11,1.228,
1991-12,1.255,
1992-01,1.265,
1992-02,1.291,
1992-03,1.284,
1992-04,1.290,
1992-05,1.293,
1992-06,1.284,
1992-07,1.269,
1992-08,1.279,
1992-09,1.277,
1992-10,1.295,
1992-11,1.286,
1992-12,1.246,
1993-01,1.237,
1993-02,1.259,
1993-03,1.268,
1993-04,1.264,
1993-05,1.254,
1993-06,1.220,
1993-07,1.220,
1993-08,1.252,
1993-09,1.253,
1993-10,1.256,
1993-11,1.246,
1993-12,1.248,
1994-01,1.226,
1994-02,1.229,
1994-03,1.228,
1994-04,1.232,
1994-05,1.242,
1994-06,1.245,
1994-07,1.247,
1994-08,1.248,
1994-09,0.667,
1994-10,0.685,
1994-11,0.690,
1994-12,0.707,
1995-01,0.645,
1995-02,0.646,
1995-03,0.652,
1995-04,0.656,
1995-05,0.654,
1995-06,0.638,
1995-07,0.665,
1995-08,0.662,
1995-09,0.662,
1995-10,0.662,
1995-11,0.661,
1995-12,0.598,
1996-01,0.619,
1996-02,0.598,
1996-03,0.632,
1996-04,0.689,
1996-05,0.692,
1996-06,0.681,
1996-07,0.679,
1996-08,0.718,
1996-09,0.699,
1996-10,0.688,
1996-11,0.696,
1996-12,0.684,
1997-01,0.705,
1997-02,0.736,
1997-03,0.727,
1997-04,0.721,
1997-05,0.973,
1997-06,0.972,
1997-07,0.679,
1997-08,0.667,
1997-09,0.637,
1997-10,0.548,
1997-11,0.557,
1997-12,0.619,
1998-01,0.666,
1998-02,0.673,
1998-03,0.763,
1998-04,0.773,
1998-05,0.771,
1998-06,0.773,
1998-07,0.787,
1998-08,0.770,
1998-09,0.736,
1998-10,0.743,
1998-11,0.786,
1998-12,0.743,
1999-01,0.738,
1999-02,0.744,
1999-03,0.774,
1999-04,0.745,
1999-05,0.781,
1999-06,1.146,
1999-07,1.260,
1999-08,1.283,
1999-09,1.294,
1999-10,1.307,
1999-11,1.265,
1999-12,1.434,
2000-01,1.440,
2000-02,1.428,
2000-03,1.408,
2000-04,1.464,
2000-05,1.482,
2000-06,1.548,
2000-07,1.580,
2000-08,1.893,
2000-09,1.948,
2000-10,2.006,
2000-11,2.028,
2000-12,1.881,
2001-01,1.927,
2001-02,2.022,
2001-03,2.067,
2001-04,2.076,
2001-05,2.115,
2001-06,2.131,
2001-07,2.159,
2001-08,2.220,
2001-09,2.240,
2001-10,3.097,
2001-11,3.127,
2001-12,3.224,
2002-01,3.436,
2002-02,3.430,
2002-03,3.550,
2002-04,3.589,
2002-05,3.574,
2002-06,3.635,
2002-07,3.615,
2002-08,3.635,
2002-09,3.588,
2002-10,3.593,
2002-11,3.506,
2002-12,3.379,
2003-01,3.361,
2003-02,3.351,
2003-03,3.478,
2003-04,3.428,
2003-05,3.377,
2003-06,3.344,
2003-07,3.470,
2003-08,3.507,
2003-09,3.492,
2003-10,3.587,
2003-11,3.591,
2003-12,3.547,
2004-01,3.549,
2004-02,3.566,
2004-03,3.572,
2004-04,3.521,
2004-05,3.535,
2004-06,3.521,
2004-07,3.577,
2004-08,3.573,
2004-09,3.596,
2004-10,3.412,
2004-11,3.429,
2004-12,2.983,
2005-01,3.059,
2005-02,3.090,
2005-03,3.173,
2005-04,3.250,
2005-05,3.256,
2005-06,3.274,
2005-07,3.290,
2005-08,3.322,
2005-09,3.578,
2005-10,3.373,
2005-11,3.298,
2005-12,3.469,
2006-01,3.101,
2006-02,3.152,
2006-03,3.356,
2006-04,3.472,
2006-05,3.535,
2006-06,3.629,
2006-07,4.272,
2006-08,6.507,
2006-09,7.907,
2006-10,9.695,
2006-11,11.706,
2006-12,13.003,
2007-01,14.080,
2007-02,14.881,
2007-03,18.445,
2007-04,20.954,
2007-05,26.223,
2007-06,28.393,
2007-07,30.740,
2007-08,34.736,
2007-09,38.835,
2007-10,44.677,
2007-11,51.844,
2007-12,48.481,
2008-01,52.907,
2008-02,55.979,
2008-03,54.257,
2008-04,55.912,
2008-05,57.334,
2008-06,55.270,
2008-07,59.290,
2008-08,60.107,
2008-09,61.624,
2008-10,66.651,
2008-11,68.036,
2008-12,59.902,
2009-01,59.174,
2009-02,59.647,
2009-03,59.319,
2009-04,62.006,
2009-05,62.271,
2009-06,53.961,
2009-07,59.023,
2009-08,64.989,
2009-09,64.198,
2009-10,68.593,
2009-11,72.463,
2009-12,67.110,
2010-01,69.302,
2010-02,73.744,
2010-03,72.517,
2010-04,79.471,
2010-05,80.197,
2010-06,76.256,
2010-07,81.788,
2010-08,87.247,
2010-09,86.389,
2010-10,90.686,
2010-11,94.754,
2010-12,92.915,
2011-01,97.008,
2011-02,90.656,
2011-03,87.602,
2011-04,89.651,
2011-05,92.724,
2011-06,85.723,
2011-07,88.495,
2011-08,86.897,
2011-09,82.476,
2011-10,68.962,
2011-11,66.899,
2011-12,59.878,
2012-01,60.539,
2012-02,61.030,
2012-03,58.824,
2012-04,59.701,
2012-05,60.003,
2012-06,54.857,
2012-07,55.527,
2012-08,55.902,
2012-09,54.927,
2012-10,55.362,
2012-11,55.692,
2012-12,54.019,
2013-01,52.110,
2013-02,52.726,
2013-03,53.138,
2013-04,53.357,
2013-05,54.047,
2013-06,51.401,
2013-07,50.818,
2013-08,50.993,
2013-09,51.974,
2013-10,50.582,
2013-11,53.267,
2013-12,53.394,
2014-01,52.747,
2014-02,53.197,
2014-03,54.221,
2014-04,54.495,
2014-05,55.549,
2014-06,54.952,
2014-07,55.487,
2014-08,56.142,
2014-09,55.700,
2014-10,55.616,
2014-11,55.763,
2014-12,56.828,
