"",BBK01.OECM05G,BBK01.OECM05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:47,
2002-01,0.016,
2002-04,0.017,
2002-07,0.017,
2002-10,0.017,
2003-01,0.017,
2003-04,0.010,
2003-07,0.010,
2003-10,0.007,
2004-01,0.007,
2004-04,0.003,
2004-07,0.005,
2004-10,0.005,
2005-01,0.013,
2005-04,0.013,
2005-07,0.003,
2005-10,0.003,
2006-01,0.003,
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,0.005,
2008-07,0.006,
2008-10,0.005,
2009-01,0.005,
2009-04,0.045,
2009-07,0.040,
2009-10,0.040,
2010-01,0.050,
2010-04,0.053,
2010-07,0.053,
2010-10,0.052,
2011-01,0.056,
2011-04,0.060,
2011-07,0.045,
2011-10,0.042,
2012-01,0.067,
2012-04,0.097,
2012-07,0.109,
2012-10,0.114,
2013-01,0.124,
2013-04,0.112,
2013-07,0.115,
2013-10,0.122,
2014-01,0.114,
2014-04,0.082,
2014-07,0.062,
