"",BBK01.OEAC24M,BBK01.OEAC24M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:16,
2002-01,6.579,
2002-04,7.124,
2002-07,6.985,
2002-10,7.030,
2003-01,6.909,
2003-04,6.739,
2003-07,6.622,
2003-10,6.050,
2004-01,5.674,
2004-04,5.674,
2004-07,5.584,
2004-10,5.287,
2005-01,5.283,
2005-04,5.103,
2005-07,4.992,
2005-10,4.617,
2006-01,4.901,
2006-04,4.652,
2006-07,4.521,
2006-10,4.728,
2007-01,4.407,
2007-04,4.694,
2007-07,4.396,
2007-10,4.532,
2008-01,5.152,
2008-04,4.938,
2008-07,4.963,
2008-10,5.553,
2009-01,4.828,
2009-04,4.841,
2009-07,4.389,
2009-10,3.312,
2010-01,4.425,
2010-04,3.933,
2010-07,3.761,
2010-10,3.349,
2011-01,3.401,
2011-04,3.340,
2011-07,3.224,
2011-10,3.265,
2012-01,3.404,
2012-04,3.222,
2012-07,3.306,
2012-10,3.308,
2013-01,3.412,
2013-04,3.593,
2013-07,3.435,
2013-10,3.585,
2014-01,3.637,
2014-04,3.749,
2014-07,3.821,
