"",BBFN1.M.DE.N.1.A.B0.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:49,
1968-12,0.030,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.062,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,0.073,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,0.072,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.059,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.085,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.311,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.229,
1976-01,0.289,
1976-02,0.298,
1976-03,0.400,
1976-04,0.349,
1976-05,0.578,
1976-06,0.977,
1976-07,1.082,
1976-08,0.870,
1976-09,0.691,
1976-10,0.574,
1976-11,0.741,
1976-12,0.603,
1977-01,0.811,
1977-02,1.004,
1977-03,1.176,
1977-04,1.226,
1977-05,1.409,
1977-06,1.116,
1977-07,0.972,
1977-08,0.861,
1977-09,0.727,
1977-10,0.684,
1977-11,0.628,
1977-12,0.538,
1978-01,0.526,
1978-02,0.648,
1978-03,0.954,
1978-04,0.781,
1978-05,0.730,
1978-06,0.693,
1978-07,0.665,
1978-08,0.511,
1978-09,0.616,
1978-10,0.701,
1978-11,0.419,
1978-12,0.469,
1979-01,0.580,
1979-02,0.512,
1979-03,1.060,
1979-04,1.108,
1979-05,1.519,
1979-06,1.156,
1979-07,1.051,
1979-08,1.193,
1979-09,0.957,
1979-10,0.772,
1979-11,0.826,
1979-12,0.533,
1980-01,0.644,
1980-02,0.729,
1980-03,0.900,
1980-04,1.071,
1980-05,1.272,
1980-06,0.933,
1980-07,1.007,
1980-08,0.909,
1980-09,0.836,
1980-10,1.014,
1980-11,1.117,
1980-12,1.494,
1981-01,1.583,
1981-02,2.117,
1981-03,2.147,
1981-04,2.238,
1981-05,2.354,
1981-06,2.073,
1981-07,1.980,
1981-08,1.599,
1981-09,1.565,
1981-10,1.992,
1981-11,1.696,
1981-12,1.448,
1982-01,1.934,
1982-02,2.170,
1982-03,2.467,
1982-04,2.461,
1982-05,2.318,
1982-06,2.164,
1982-07,1.941,
1982-08,1.684,
1982-09,1.482,
1982-10,1.520,
1982-11,1.682,
1982-12,1.631,
1983-01,1.773,
1983-02,1.735,
1983-03,1.775,
1983-04,1.761,
1983-05,1.931,
1983-06,2.035,
1983-07,1.807,
1983-08,1.932,
1983-09,1.802,
1983-10,1.943,
1983-11,1.661,
1983-12,1.420,
1984-01,2.427,
1984-02,2.840,
1984-03,3.428,
1984-04,3.125,
1984-05,3.855,
1984-06,2.721,
1984-07,2.762,
1984-08,2.795,
1984-09,2.651,
1984-10,3.017,
1984-11,3.346,
1984-12,2.472,
1985-01,3.931,
1985-02,4.167,
1985-03,5.027,
1985-04,5.679,
1985-05,5.864,
1985-06,5.772,
1985-07,5.958,
1985-08,5.556,
1985-09,5.201,
1985-10,6.950,
1985-11,5.928,
1985-12,4.427,
1986-01,8.268,
1986-02,8.668,
1986-03,12.580,
1986-04,15.899,
1986-05,16.408,
1986-06,14.720,
1986-07,16.838,
1986-08,16.427,
1986-09,15.675,
1986-10,18.911,
1986-11,18.523,
1986-12,16.111,
1987-01,19.183,
1987-02,18.460,
1987-03,18.556,
1987-04,19.815,
1987-05,19.188,
1987-06,19.100,
1987-07,21.217,
1987-08,21.182,
1987-09,20.266,
1987-10,22.336,
1987-11,20.758,
1987-12,18.415,
1988-01,21.451,
1988-02,21.023,
1988-03,22.705,
1988-04,23.205,
1988-05,24.298,
1988-06,22.957,
1988-07,22.793,
1988-08,23.111,
1988-09,21.746,
1988-10,21.933,
1988-11,20.564,
1988-12,19.086,
1989-01,24.552,
1989-02,25.937,
1989-03,26.381,
1989-04,28.320,
1989-05,30.007,
1989-06,29.347,
1989-07,29.071,
1989-08,29.655,
1989-09,28.460,
1989-10,32.549,
1989-11,33.153,
1989-12,28.681,
1990-01,34.508,
1990-02,35.573,
1990-03,37.246,
1990-04,38.443,
1990-05,38.530,
1990-06,38.080,
1990-07,39.140,
1990-08,38.741,
1990-09,38.789,
1990-10,41.383,
1990-11,40.455,
1990-12,38.147,
1991-01,42.459,
1991-02,42.868,
1991-03,44.618,
1991-04,46.858,
1991-05,46.540,
1991-06,44.099,
1991-07,46.114,
1991-08,43.492,
1991-09,40.653,
1991-10,45.210,
1991-11,44.162,
1991-12,40.345,
1992-01,44.953,
1992-02,46.402,
1992-03,45.859,
1992-04,47.184,
1992-05,46.955,
1992-06,46.848,
1992-07,45.621,
1992-08,43.751,
1992-09,43.208,
1992-10,49.371,
1992-11,49.137,
1992-12,45.725,
1993-01,52.358,
1993-02,54.591,
1993-03,55.466,
1993-04,58.420,
1993-05,57.448,
1993-06,56.558,
1993-07,61.633,
1993-08,57.966,
1993-09,60.172,
1993-10,70.524,
1993-11,70.789,
1993-12,64.960,
1994-01,73.577,
1994-02,68.694,
1994-03,72.110,
1994-04,70.595,
1994-05,70.448,
1994-06,68.324,
1994-07,71.443,
1994-08,71.673,
1994-09,72.291,
1994-10,77.839,
1994-11,80.364,
1994-12,76.091,
1995-01,82.304,
1995-02,80.421,
1995-03,80.822,
1995-04,82.912,
1995-05,83.888,
1995-06,82.798,
1995-07,83.105,
1995-08,78.729,
1995-09,78.743,
1995-10,79.404,
1995-11,77.434,
1995-12,68.679,
1996-01,74.243,
1996-02,73.973,
1996-03,76.017,
1996-04,80.066,
1996-05,80.519,
1996-06,76.148,
1996-07,75.614,
1996-08,73.761,
1996-09,71.887,
1996-10,74.556,
1996-11,76.349,
1996-12,69.069,
1997-01,77.702,
1997-02,81.724,
1997-03,81.352,
1997-04,83.049,
1997-05,80.071,
1997-06,76.673,
1997-07,78.243,
1997-08,73.386,
1997-09,72.530,
1997-10,75.076,
1997-11,72.598,
1997-12,63.522,
1998-01,77.111,
1998-02,79.589,
1998-03,82.080,
1998-04,86.019,
1998-05,83.797,
1998-06,79.369,
1998-07,81.651,
1998-08,78.331,
1998-09,81.006,
1998-10,84.633,
1998-11,78.351,
1998-12,63.967,
1999-01,58.605,
1999-02,60.404,
1999-03,58.231,
1999-04,59.435,
1999-05,57.952,
1999-06,57.788,
1999-07,59.265,
1999-08,57.205,
1999-09,56.951,
1999-10,54.339,
1999-11,52.959,
1999-12,44.051,
2000-01,48.624,
2000-02,53.779,
2000-03,62.353,
2000-04,59.763,
2000-05,53.390,
2000-06,50.067,
2000-07,56.208,
2000-08,64.728,
2000-09,47.350,
2000-10,47.932,
2000-11,45.605,
2000-12,36.513,
2001-01,48.367,
2001-02,54.778,
2001-03,52.962,
2001-04,51.815,
2001-05,50.162,
2001-06,49.766,
2001-07,60.904,
2001-08,54.837,
2001-09,53.806,
2001-10,55.933,
