"",BBK01.OEXL06N,BBK01.OEXL06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:22,
2002-01,1.564,
2002-04,1.535,
2002-07,1.412,
2002-10,1.106,
2003-01,1.017,
2003-04,0.997,
2003-07,0.960,
2003-10,0.994,
2004-01,1.127,
2004-04,1.137,
2004-07,1.132,
2004-10,1.106,
2005-01,1.278,
2005-04,1.283,
2005-07,1.321,
2005-10,1.268,
2006-01,1.258,
2006-04,1.293,
2006-07,1.427,
2006-10,1.444,
2007-01,1.460,
2007-04,1.509,
2007-07,1.515,
2007-10,1.720,
2008-01,1.972,
2008-04,2.240,
2008-07,2.353,
2008-10,2.659,
2009-01,3.060,
2009-04,2.690,
2009-07,2.417,
2009-10,2.412,
2010-01,2.510,
2010-04,3.205,
2010-07,3.487,
2010-10,3.725,
2011-01,4.003,
2011-04,4.458,
2011-07,4.760,
2011-10,4.747,
2012-01,5.091,
2012-04,5.448,
2012-07,5.840,
2012-10,5.767,
2013-01,5.411,
2013-04,4.869,
2013-07,4.807,
2013-10,4.751,
2014-01,4.669,
2014-04,4.564,
2014-07,4.020,
