"",BBK01.OEAC15T,BBK01.OEAC15T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:14,
2002-01,1.075,
2002-04,1.082,
2002-07,1.072,
2002-10,1.043,
2003-01,1.063,
2003-04,1.057,
2003-07,1.018,
2003-10,0.986,
2004-01,1.005,
2004-04,0.990,
2004-07,0.970,
2004-10,0.933,
2005-01,0.938,
2005-04,0.918,
2005-07,0.840,
2005-10,0.824,
2006-01,0.835,
2006-04,0.827,
2006-07,0.806,
2006-10,0.787,
2007-01,0.781,
2007-04,0.780,
2007-07,0.774,
2007-10,0.747,
2008-01,0.752,
2008-04,0.746,
2008-07,0.745,
2008-10,0.733,
2009-01,0.728,
2009-04,0.732,
2009-07,0.719,
2009-10,0.693,
2010-01,0.714,
2010-04,0.723,
2010-07,0.735,
2010-10,0.726,
2011-01,0.730,
2011-04,0.725,
2011-07,0.722,
2011-10,0.707,
2012-01,0.708,
2012-04,0.709,
2012-07,0.710,
2012-10,0.704,
2013-01,0.708,
2013-04,0.709,
2013-07,0.708,
2013-10,0.691,
2014-01,0.700,
2014-04,0.699,
2014-07,0.700,
