"",BBK01.OEAH62Q,BBK01.OEAH62Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:19,
2002-01,0.088,
2002-04,0.105,
2002-07,0.109,
2002-10,0.114,
2003-01,0.108,
2003-04,0.096,
2003-07,0.105,
2003-10,0.114,
2004-01,0.113,
2004-04,0.099,
2004-07,0.101,
2004-10,0.111,
2005-01,0.144,
2005-04,0.155,
2005-07,0.170,
2005-10,0.183,
2006-01,0.177,
2006-04,0.176,
2006-07,0.203,
2006-10,0.217,
2007-01,0.199,
2007-04,0.236,
2007-07,0.266,
2007-10,0.351,
2008-01,0.439,
2008-04,0.446,
2008-07,0.516,
2008-10,0.550,
2009-01,0.504,
2009-04,0.527,
2009-07,0.500,
2009-10,0.497,
2010-01,0.471,
2010-04,0.436,
2010-07,0.420,
2010-10,0.392,
2011-01,0.393,
2011-04,0.360,
2011-07,0.331,
2011-10,0.390,
2012-01,0.425,
2012-04,0.421,
2012-07,0.406,
2012-10,0.395,
2013-01,0.356,
2013-04,0.363,
2013-07,0.344,
2013-10,0.324,
2014-01,0.337,
2014-04,0.482,
2014-07,0.765,
