"",BBK01.SUD205,BBK01.SUD205_FLAGS
"",New business (volumes) of German banks / Households' deposits redeemable at notice of up to 3 months,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:46,
2003-01,478755,
2003-02,481714,
2003-03,483370,
2003-04,484486,
2003-05,485156,
2003-06,486111,
2003-07,488133,
2003-08,490805,
2003-09,491693,
2003-10,492668,
2003-11,493279,
2003-12,502167,
2004-01,503431,
2004-02,504560,
2004-03,504583,
2004-04,505420,
2004-05,505649,
2004-06,505366,
2004-07,505800,
2004-08,506415,
2004-09,506492,
2004-10,506856,
2004-11,506807,
2004-12,515840,
2005-01,516803,
2005-02,517068,
2005-03,516937,
2005-04,517005,
2005-05,516455,
2005-06,515200,
2005-07,515042,
2005-08,514260,
2005-09,514247,
2005-10,513181,
2005-11,512020,
2005-12,518955,
2006-01,517768,
2006-02,517281,
2006-03,515333,
2006-04,513543,
2006-05,509976,
2006-06,507349,
2006-07,503445,
2006-08,498932,
2006-09,495091,
2006-10,490334,
2006-11,484245,
2006-12,487476,
2007-01,481378,
2007-02,477454,
2007-03,474191,
2007-04,470120,
2007-05,465973,
2007-06,461997,
2007-07,456327,
2007-08,452446,
2007-09,448931,
2007-10,444222,
2007-11,440239,
2007-12,446616,
2008-01,441880,
2008-02,439835,
2008-03,438185,
2008-04,435524,
2008-05,433505,
2008-06,431428,
2008-07,426345,
2008-08,423199,
2008-09,419923,
2008-10,418584,
2008-11,417459,
2008-12,425527,
2009-01,429238,
2009-02,434504,
2009-03,437140,
2009-04,439565,
2009-05,441968,
2009-06,445518,
2009-07,450019,
2009-08,454401,
2009-09,457521,
2009-10,461657,
2009-11,464488,
2009-12,474429,
2010-01,479240,
2010-02,485075,
2010-03,486809,
2010-04,488783,
2010-05,490706,
2010-06,491359,
2010-07,495008,
2010-08,496668,
2010-09,499188,
2010-10,501900,
2010-11,503907,
2010-12,512222,
2011-01,514833,
2011-02,516856,
2011-03,517707,
2011-04,517337,
2011-05,515120,
2011-06,513314,
2011-07,512173,
2011-08,510749,
2011-09,509809,
2011-10,509641,
2011-11,510106,
2011-12,515587,
2012-01,517814,
2012-02,520675,
2012-03,521107,
2012-04,520039,
2012-05,519995,
2012-06,519919,
2012-07,520534,
2012-08,521324,
2012-09,521677,
2012-10,521818,
2012-11,522244,
2012-12,528458,
2013-01,529365,
2013-02,530687,
2013-03,529260,
2013-04,528646,
2013-05,528835,
2013-06,528594,
2013-07,527971,
2013-08,528142,
2013-09,527842,
2013-10,527870,
2013-11,527862,
2013-12,532012,
2014-01,531516,
2014-02,531906,
2014-03,530731,
2014-04,529024,
2014-05,528416,
2014-06,528104,
2014-07,527278,
2014-08,527851,
2014-09,527990,
2014-10,527680,
2014-11,527234,
2014-12,531892,Provisional value
"",General: New business is collected in the same way as outstanding amounts for the sake of simplicity. This means that all outstanding deposit business at the end of the month has to be incorporated in the calculation of volumes. Data based on monthly balance sheet statistics. Including non-financial corporations' deposits redeemable at notice of up to 3 months; including fidelity and growth premia. p = Provisional,
