"",BBQFS.M.W0.CORP.RSK_HY_USD._X.0000,BBQFS.M.W0.CORP.RSK_HY_USD._X.0000_FLAGS
"",Risk premiums non-investment-grade corporate bonds denominated in US-Dollar (FSR 2014),
unit,BP (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:26,
1998-01,298.00,
1998-02,288.00,
1998-03,283.00,
1998-04,298.00,
1998-05,305.00,
1998-06,337.00,
1998-07,338.00,
1998-08,520.00,
1998-09,595.00,
1998-10,636.00,
1998-11,544.00,
1998-12,566.00,
1999-01,553.00,
1999-02,521.00,
1999-03,519.00,
1999-04,476.00,
1999-05,475.00,
1999-06,487.00,
1999-07,481.00,
1999-08,490.00,
1999-09,507.00,
1999-10,517.00,
1999-11,491.00,
1999-12,476.00,
2000-01,487.00,
2000-02,508.00,
2000-03,575.00,
2000-04,571.00,
2000-05,616.00,
2000-06,617.00,
2000-07,626.00,
2000-08,643.00,
2000-09,672.00,
2000-10,779.00,
2000-11,906.00,
2000-12,900.00,
2001-01,787.00,
2001-02,770.00,
2001-03,820.00,
2001-04,806.00,
2001-05,768.00,
2001-06,816.00,
2001-07,827.00,
2001-08,805.00,
2001-09,1025.00,
2001-10,961.00,
2001-11,839.00,
2001-12,824.00,
2002-01,789.00,
2002-02,819.00,
2002-03,711.00,
2002-04,688.00,
2002-05,728.00,
2002-06,923.00,
2002-07,971.00,
2002-08,950.00,
2002-09,1033.00,
2002-10,1059.00,
2002-11,901.00,
2002-12,890.00,
2003-01,829.00,
2003-02,838.00,
2003-03,772.00,
2003-04,644.00,
2003-05,681.00,
2003-06,613.00,
2003-07,567.00,
2003-08,543.00,
2003-09,551.00,
2003-10,473.00,
2003-11,446.00,
2003-12,418.00,
2004-01,403.00,
2004-02,434.00,
2004-03,441.00,
2004-04,391.00,
2004-05,428.00,
2004-06,410.00,
2004-07,399.00,
2004-08,406.00,
2004-09,383.00,
2004-10,356.00,
2004-11,317.00,
2004-12,310.00,
2005-01,329.00,
2005-02,283.00,
2005-03,352.00,
2005-04,415.00,
2005-05,413.00,
2005-06,385.00,
2005-07,325.00,
2005-08,366.00,
2005-09,354.00,
2005-10,361.00,
2005-11,367.00,
2005-12,365.00,
2006-01,342.00,
2006-02,337.00,
2006-03,313.00,
2006-04,300.00,
2006-05,312.00,
2006-06,335.00,
2006-07,345.00,
2006-08,349.00,
2006-09,342.00,
2006-10,329.00,
2006-11,320.00,
2006-12,282.00,
2007-01,272.00,
2007-02,282.00,
2007-03,280.00,
2007-04,274.00,
2007-05,246.00,
2007-06,289.00,
2007-07,419.00,
2007-08,455.00,
2007-09,416.00,
2007-10,436.00,
2007-11,575.00,
2007-12,592.00,
2008-01,695.00,
2008-02,767.00,
2008-03,821.00,
2008-04,686.00,
2008-05,657.00,
2008-06,735.00,
2008-07,800.00,
2008-08,828.00,
2008-09,1096.00,
2008-10,1617.00,
2008-11,1978.00,
2008-12,1812.00,
2009-01,1622.00,
2009-02,1739.00,
2009-03,1703.00,
2009-04,1345.00,
2009-05,1176.00,
2009-06,1055.00,
2009-07,922.00,
2009-08,912.00,
2009-09,793.00,
2009-10,766.00,
2009-11,765.00,
2009-12,639.00,
2010-01,646.00,
2010-02,666.00,
2010-03,584.00,
2010-04,561.00,
2010-05,698.00,
2010-06,713.00,
2010-07,657.00,
2010-08,692.00,
2010-09,626.00,
2010-10,582.00,
2010-11,622.00,
2010-12,541.00,
2011-01,508.00,
2011-02,478.00,
2011-03,477.00,
2011-04,471.00,
2011-05,509.00,
2011-06,542.00,
2011-07,551.00,
2011-08,730.00,
2011-09,841.00,
2011-10,707.00,
2011-11,779.00,
2011-12,738.00,
2012-01,661.00,
2012-02,598.00,
2012-03,595.00,
2012-04,604.00,
2012-05,696.00,
2012-06,636.00,
2012-07,616.00,
2012-08,598.00,
2012-09,572.00,
2012-10,563.00,
2012-11,565.00,
2012-12,534.00,
2013-01,495.00,
2013-02,498.00,
2013-03,480.00,
2013-04,455.00,
2013-05,462.00,
2013-06,516.00,
2013-07,471.00,
2013-08,478.00,
2013-09,483.00,
2013-10,436.00,
2013-11,423.00,
2013-12,400.00,
2014-01,421.00,
2014-02,381.00,
2014-03,377.00,
2014-04,371.00,
2014-05,367.00,
2014-06,353.00,
2014-07,404.00,
2014-08,384.00,
2014-09,440.00,
2014-10,430.00,
"",Source: Bloomberg (Bank of America / Merril Lynch),
