"",BBK01.OELJ09Q,BBK01.OELJ09Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:13,
2002-01,0.492,
2002-04,0.463,
2002-07,0.585,
2002-10,0.584,
2003-01,0.514,
2003-04,0.514,
2003-07,0.626,
2003-10,0.630,
2004-01,0.627,
2004-04,0.623,
2004-07,0.612,
2004-10,0.489,
2005-01,0.482,
2005-04,0.480,
2005-07,0.474,
2005-10,0.253,
2006-01,0.243,
2006-04,0.242,
2006-07,0.241,
2006-10,0.239,
2007-01,0.239,
2007-04,0.239,
2007-07,0.070,
2007-10,0.068,
2008-01,0.066,
2008-04,0.067,
2008-07,0.066,
2008-10,0.047,
2009-01,0.047,
2009-04,0.053,
2009-07,0.055,
2009-10,0.072,
2010-01,0.116,
2010-04,0.113,
2010-07,0.110,
2010-10,0.097,
2011-01,0.039,
2011-04,0.018,
2011-07,0.016,
2011-10,0.005,
2012-01,0.005,
2012-04,0.005,
2012-07,0.034,
2012-10,0.044,
2013-01,0.054,
2013-04,0.061,
2013-07,0.053,
2013-10,0.072,
2014-01,0.076,
2014-04,0.073,
2014-07,0.085,
