"",BBK01.OEHL08K,BBK01.OEHL08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:15,
2002-01,6.440,
2002-04,6.237,
2002-07,6.257,
2002-10,6.529,
2003-01,6.607,
2003-04,6.558,
2003-07,6.499,
2003-10,6.618,
2004-01,6.591,
2004-04,6.553,
2004-07,6.480,
2004-10,6.643,
2005-01,6.631,
2005-04,6.617,
2005-07,6.485,
2005-10,6.451,
2006-01,6.511,
2006-04,6.439,
2006-07,6.345,
2006-10,6.318,
2007-01,6.309,
2007-04,6.180,
2007-07,6.031,
2007-10,6.090,
2008-01,6.231,
2008-04,6.136,
2008-07,6.042,
2008-10,6.466,
2009-01,6.283,
2009-04,6.022,
2009-07,5.742,
2009-10,5.609,
2010-01,5.555,
2010-04,5.493,
2010-07,5.417,
2010-10,5.416,
2011-01,5.444,
2011-04,5.657,
2011-07,5.658,
2011-10,5.673,
2012-01,5.641,
2012-04,5.614,
2012-07,5.584,
2012-10,5.587,
2013-01,5.627,
2013-04,5.482,
2013-07,5.573,
2013-10,5.697,
2014-01,6.035,
2014-04,6.266,
2014-07,6.371,
