"",BBFB1.Q.N.DE.A7.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:13,
1991-01,1344.402,
1991-04,1615.066,
1991-07,1595.000,
1991-10,1368.289,
1992-01,1380.448,
1992-04,1638.465,
1992-07,1431.856,
1992-10,1259.664,
1993-01,1046.959,
1993-04,1170.215,
1993-07,1264.341,
1993-10,1173.320,
1994-01,1123.695,
1994-04,1316.072,
1994-07,1471.873,
1994-10,1414.910,
1995-01,1211.804,
1995-04,1380.897,
1995-07,1412.428,
1995-10,1304.239,
1996-01,1129.685,
1996-04,1339.813,
1996-07,1366.258,
1996-10,1224.473,
1997-01,1219.267,
1997-04,1665.408,
1997-07,1676.863,
1997-10,1412.659,
1998-01,2037.472,
1998-04,2073.947,
1998-07,2050.739,
1998-10,1813.186,
1999-01,1682.368,
1999-04,2121.611,
1999-07,2194.321,
1999-10,2039.009,
2000-01,2321.501,
2000-04,2724.722,
2000-07,2806.456,
2000-10,2781.724,
2001-01,2458.724,
2001-04,2963.668,
2001-07,2724.310,
2001-10,2184.989,
2002-01,2148.749,
2002-04,2756.859,
2002-07,2445.458,
2002-10,2493.262,
2003-01,2775.684,
2003-04,2677.555,
2003-07,2126.544,
2003-10,2402.923,
2004-01,2634.955,
2004-04,2785.137,
2004-07,3389.594,
2004-10,3273.722,
2005-01,2446.861,
2005-04,3001.028,
2005-07,3166.094,
2005-10,3397.707,
2006-01,3166.937,
2006-04,3549.257,
2006-07,4140.943,
2006-10,4171.285,
2007-01,4186.824,
2007-04,4091.701,
2007-07,4095.488,
2007-10,4015.610,
2008-01,3976.556,
2008-04,4620.854,
2008-07,4860.337,
2008-10,3830.684,
2009-01,3576.560,
2009-04,3406.836,
2009-07,3580.852,
2009-10,3569.051,
2010-01,3575.764,
2010-04,4394.554,
2010-07,4894.275,
2010-10,4774.054,
2011-01,4674.231,
2011-04,5731.363,
2011-07,4859.834,
2011-10,4637.595,
2012-01,4482.400,
2012-04,4268.799,
2012-07,4314.436,
2012-10,4271.667,
2013-01,3430.924,
2013-04,3802.181,
2013-07,3672.306,
2013-10,3723.127,
2014-01,3377.084,Provisional value
2014-04,3774.196,Provisional value
2014-07,3759.076,Provisional value
