"",BBFB1.Q.N.DE.NL.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:10,
1991-01,7869.960,
1991-04,7930.657,
1991-07,7169.593,
1991-10,7969.425,
1992-01,7751.592,
1992-04,7554.339,
1992-07,7157.105,
1992-10,7787.799,
1993-01,5980.911,
1993-04,6045.963,
1993-07,6053.909,
1993-10,6525.670,
1994-01,6186.809,
1994-04,6268.255,
1994-07,6036.743,
1994-10,6735.689,
1995-01,7010.105,
1995-04,7446.796,
1995-07,6814.881,
1995-10,7406.739,
1996-01,7391.396,
1996-04,7469.499,
1996-07,7196.167,
1996-10,8202.912,
1997-01,8074.448,
1997-04,8072.284,
1997-07,8322.642,
1997-10,8792.727,
1998-01,8821.534,
1998-04,8785.514,
1998-07,7983.556,
1998-10,8663.198,
1999-01,8437.507,
1999-04,9007.859,
1999-07,8264.976,
1999-10,9578.731,
2000-01,10099.543,
2000-04,10514.388,
2000-07,10430.795,
2000-10,12268.252,
2001-01,10978.778,
2001-04,10754.566,
2001-07,9985.615,
2001-10,10375.004,
2002-01,9435.264,
2002-04,9772.603,
2002-07,9892.609,
2002-10,10590.471,
2003-01,10392.015,
2003-04,10218.013,
2003-07,9522.521,
2003-10,11211.611,
2004-01,10730.791,
2004-04,10997.640,
2004-07,11342.273,
2004-10,12984.741,
2005-01,12537.755,
2005-04,12358.556,
2005-07,12674.797,
2005-10,14201.057,
2006-01,14744.379,
2006-04,14501.588,
2006-07,14840.974,
2006-10,15813.846,
2007-01,14473.049,
2007-04,15077.252,
2007-07,15147.302,
2007-10,16771.920,
2008-01,16767.199,
2008-04,16420.282,
2008-07,17578.871,
2008-10,16992.491,
2009-01,14726.085,
2009-04,12735.810,
2009-07,13657.089,
2009-10,14466.499,
2010-01,15737.983,
2010-04,16652.157,
2010-07,16502.925,
2010-10,18033.343,
2011-01,19878.265,
2011-04,20753.093,
2011-07,19700.525,
2011-10,19963.192,
2012-01,21002.469,
2012-04,20637.565,
2012-07,20449.989,
2012-10,21647.682,
2013-01,21288.869,
2013-04,22119.771,
2013-07,21073.186,
2013-10,22025.192,
2014-01,21480.347,Provisional value
2014-04,21409.604,Provisional value
2014-07,21015.875,Provisional value
