"",BBK01.OEHK03T,BBK01.OEHK03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:41,
2002-01,0.082,
2002-04,0.078,
2002-07,0.078,
2002-10,0.075,
2003-01,0.071,
2003-04,0.069,
2003-07,0.062,
2003-10,0.063,
2004-01,0.062,
2004-04,0.056,
2004-07,0.053,
2004-10,0.055,
2005-01,0.056,
2005-04,0.052,
2005-07,0.051,
2005-10,0.050,
2006-01,0.051,
2006-04,0.050,
2006-07,0.047,
2006-10,0.046,
2007-01,0.050,
2007-04,0.049,
2007-07,0.052,
2007-10,0.058,
2008-01,0.063,
2008-04,0.067,
2008-07,0.085,
2008-10,0.076,
2009-01,0.066,
2009-04,0.052,
2009-07,0.040,
2009-10,0.033,
2010-01,0.030,
2010-04,0.029,
2010-07,0.025,
2010-10,0.023,
2011-01,0.022,
2011-04,0.024,
2011-07,0.024,
2011-10,0.024,
2012-01,0.024,
2012-04,0.023,
2012-07,0.022,
2012-10,0.019,
2013-01,0.019,
2013-04,0.020,
2013-07,0.018,
2013-10,0.016,
2014-01,0.014,
2014-04,0.013,
2014-07,0.012,
