"",BBK01.OEXB11N,BBK01.OEXB11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:00,
2002-01,4.169,
2002-04,4.600,
2002-07,4.251,
2002-10,4.753,
2003-01,4.664,
2003-04,4.755,
2003-07,4.855,
2003-10,4.832,
2004-01,4.682,
2004-04,5.005,
2004-07,5.284,
2004-10,4.359,
2005-01,4.167,
2005-04,4.406,
2005-07,4.843,
2005-10,5.265,
2006-01,5.497,
2006-04,5.626,
2006-07,5.956,
2006-10,6.201,
2007-01,6.337,
2007-04,7.181,
2007-07,7.409,
2007-10,7.104,
2008-01,8.921,
2008-04,9.102,
2008-07,7.875,
2008-10,7.465,
2009-01,6.452,
2009-04,6.221,
2009-07,6.192,
2009-10,6.749,
2010-01,6.912,
2010-04,6.940,
2010-07,6.905,
2010-10,7.601,
2011-01,7.750,
2011-04,7.615,
2011-07,8.139,
2011-10,8.089,
2012-01,7.819,
2012-04,7.877,
2012-07,7.878,
2012-10,8.677,
2013-01,8.644,
2013-04,8.601,
2013-07,8.598,
2013-10,8.572,
2014-01,9.830,
2014-04,10.344,
2014-07,10.407,
