"",BBK01.OEAH60H,BBK01.OEAH60H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:04,
2002-01,22.576,
2002-04,21.941,
2002-07,21.642,
2002-10,21.155,
2003-01,20.450,
2003-04,19.108,
2003-07,18.197,
2003-10,17.431,
2004-01,16.301,
2004-04,15.248,
2004-07,14.665,
2004-10,14.457,
2005-01,14.017,
2005-04,13.722,
2005-07,13.470,
2005-10,14.007,
2006-01,14.231,
2006-04,14.765,
2006-07,15.778,
2006-10,17.214,
2007-01,18.597,
2007-04,19.959,
2007-07,23.027,
2007-10,25.465,
2008-01,28.004,
2008-04,30.286,
2008-07,33.046,
2008-10,37.016,
2009-01,30.442,
2009-04,25.539,
2009-07,20.719,
2009-10,16.842,
2010-01,13.754,
2010-04,12.812,
2010-07,11.680,
2010-10,11.332,
2011-01,10.947,
2011-04,11.017,
2011-07,11.407,
2011-10,11.812,
2012-01,11.411,
2012-04,10.672,
2012-07,9.600,
2012-10,9.013,
2013-01,8.277,
2013-04,8.357,
2013-07,8.302,
2013-10,8.066,
2014-01,8.087,
2014-04,7.819,
2014-07,7.485,
