"",BBDA1.M.DE.Y.EX.S.A.W100X2.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W100X2.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / Rest of the World excluding European countries / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:23,
1993-01,6.81,
1993-02,7.64,
1993-03,6.44,
1993-04,6.58,
1993-05,6.43,
1993-06,6.95,
1993-07,6.59,
1993-08,6.88,
1993-09,6.72,
1993-10,7.30,
1993-11,6.99,
1993-12,7.25,
1994-01,7.73,
1994-02,7.62,
1994-03,7.19,
1994-04,7.90,
1994-05,8.25,
1994-06,8.04,
1994-07,7.29,
1994-08,8.01,
1994-09,7.88,
1994-10,7.83,
1994-11,8.18,
1994-12,7.87,
1995-01,8.38,
1995-02,8.61,
1995-03,8.02,
1995-04,8.09,
1995-05,8.29,
1995-06,8.23,
1995-07,7.95,
1995-08,7.83,
1995-09,8.30,
1995-10,8.34,
1995-11,8.55,
1995-12,8.39,
1996-01,8.36,
1996-02,8.84,
1996-03,8.24,
1996-04,8.67,
1996-05,8.49,
1996-06,8.35,
1996-07,8.53,
1996-08,8.73,
1996-09,9.25,
1996-10,9.55,
1996-11,9.19,
1996-12,8.92,
1997-01,9.89,
1997-02,9.86,
1997-03,10.18,
1997-04,9.83,
1997-05,9.99,
1997-06,9.86,
1997-07,10.23,
1997-08,10.05,
1997-09,11.59,
1997-10,10.34,
1997-11,10.27,
1997-12,10.49,
1998-01,11.12,
1998-02,10.77,
1998-03,10.78,
1998-04,10.83,
1998-05,10.49,
1998-06,10.15,
1998-07,10.08,
1998-08,10.38,
1998-09,10.35,
1998-10,9.84,
1998-11,9.85,
1998-12,9.82,
1999-01,10.50,
1999-02,10.25,
1999-03,10.56,
1999-04,11.04,
1999-05,10.50,
1999-06,10.77,
1999-07,11.75,
1999-08,10.35,
1999-09,10.92,
1999-10,11.19,
1999-11,11.70,
1999-12,11.34,
2000-01,12.03,
2000-02,12.21,
2000-03,12.54,
2000-04,12.48,
2000-05,12.62,
2000-06,13.59,
2000-07,13.32,
2000-08,13.23,
2000-09,13.51,
2000-10,14.66,
2000-11,14.09,
2000-12,13.99,
2001-01,15.23,
2001-02,14.64,
