"",BBSF2.M.1.S.00000.TOT01.I.F.INV.AT.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.AT.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:19,
2009-09,607,
2009-10,606,
2009-11,636,
2009-12,549,
2010-01,568,
2010-02,584,
2010-03,618,
2010-04,609,
2010-05,576,
2010-06,598,
2010-07,592,
2010-08,604,
2010-09,619,
2010-10,643,
2010-11,645,
2010-12,646,
2011-01,671,
2011-02,799,
2011-03,830,
2011-04,809,
2011-05,741,
2011-06,730,
2011-07,769,
2011-08,736,
2011-09,715,
2011-10,718,
2011-11,693,
2011-12,688,
2012-01,722,
2012-02,707,
2012-03,692,
2012-04,679,
2012-05,639,
2012-06,627,
2012-07,655,
2012-08,616,
2012-09,641,
2012-10,668,
2012-11,652,
2012-12,663,
2013-01,679,
2013-02,679,
2013-03,694,
2013-04,704,
2013-05,731,
2013-06,659,
2013-07,721,
2013-08,755,
2013-09,776,
2013-10,779,
2013-11,738,
2013-12,687,
2014-01,714,
2014-02,712,
2014-03,526,
2014-04,537,
2014-05,539,
2014-06,598,
2014-07,593,
2014-08,596,
2014-09,587,
2014-10,580,
2014-11,585,
