"",BBK01.OEAE15L,BBK01.OEAE15L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:09,
2002-01,3.066,
2002-04,2.774,
2002-07,2.653,
2002-10,2.601,
2003-01,2.661,
2003-04,2.721,
2003-07,2.461,
2003-10,2.204,
2004-01,2.130,
2004-04,2.197,
2004-07,2.327,
2004-10,2.753,
2005-01,2.440,
2005-04,2.637,
2005-07,2.632,
2005-10,2.117,
2006-01,2.127,
2006-04,2.205,
2006-07,2.173,
2006-10,2.491,
2007-01,2.200,
2007-04,2.319,
2007-07,2.243,
2007-10,2.451,
2008-01,2.544,
2008-04,2.619,
2008-07,2.451,
2008-10,3.025,
2009-01,3.061,
2009-04,2.823,
2009-07,2.585,
2009-10,2.292,
2010-01,2.390,
2010-04,2.492,
2010-07,2.176,
2010-10,2.143,
2011-01,2.009,
2011-04,2.039,
2011-07,1.965,
2011-10,1.746,
2012-01,2.129,
2012-04,1.997,
2012-07,2.060,
2012-10,2.146,
2013-01,1.867,
2013-04,2.114,
2013-07,2.107,
2013-10,2.035,
2014-01,1.818,
2014-04,2.031,
2014-07,2.271,
