"",BBFN1.M.DE.N.1.A.ES.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:05,
1994-12,4.123,
1995-01,4.155,
1995-02,4.152,
1995-03,4.241,
1995-04,4.085,
1995-05,4.192,
1995-06,4.262,
1995-07,4.104,
1995-08,3.954,
1995-09,4.093,
1995-10,4.019,
1995-11,4.101,
1995-12,3.937,
1996-01,3.821,
1996-02,3.816,
1996-03,4.029,
1996-04,4.021,
1996-05,4.117,
1996-06,4.319,
1996-07,4.103,
1996-08,3.872,
1996-09,3.987,
1996-10,4.023,
1996-11,4.006,
1996-12,3.872,
1997-01,3.943,
1997-02,4.133,
1997-03,4.355,
1997-04,4.294,
1997-05,4.433,
1997-06,4.483,
1997-07,4.701,
1997-08,4.438,
1997-09,4.643,
1997-10,4.724,
1997-11,4.800,
1997-12,4.773,
1998-01,4.697,
1998-02,4.807,
1998-03,5.038,
1998-04,5.118,
1998-05,5.278,
1998-06,5.413,
1998-07,5.322,
1998-08,5.189,
1998-09,5.540,
1998-10,5.519,
1998-11,5.768,
1998-12,5.622,
1999-01,5.732,
1999-02,5.901,
1999-03,6.210,
1999-04,6.064,
1999-05,6.271,
1999-06,6.245,
1999-07,6.239,
1999-08,5.858,
1999-09,6.283,
1999-10,6.505,
1999-11,6.791,
1999-12,6.605,
2000-01,6.587,
2000-02,6.916,
2000-03,7.037,
2000-04,7.379,
2000-05,7.702,
2000-06,7.513,
2000-07,7.528,
2000-08,7.379,
2000-09,7.274,
2000-10,7.838,
2000-11,7.981,
2000-12,8.158,
2001-01,8.818,
2001-02,9.028,
2001-03,9.092,
2001-04,10.870,
2001-05,11.273,
2001-06,11.260,
2001-07,11.476,
2001-08,11.214,
2001-09,11.189,
2001-10,10.468,
2001-11,10.507,
2001-12,10.569,
2002-01,10.331,
2002-02,10.443,
2002-03,10.528,
2002-04,10.782,
2002-05,10.947,
2002-06,11.075,
2002-07,9.043,
2002-08,8.518,
2002-09,8.759,
2002-10,8.870,
2002-11,8.898,
2002-12,9.094,
2003-01,9.287,
2003-02,9.395,
2003-03,9.656,
2003-04,9.536,
2003-05,10.019,
2003-06,10.311,
2003-07,9.743,
2003-08,9.705,
2003-09,9.825,
2003-10,9.841,
2003-11,9.615,
2003-12,9.483,
2004-01,9.763,
2004-02,10.034,
2004-03,10.669,
2004-04,10.397,
2004-05,11.091,
2004-06,10.872,
2004-07,10.830,
2004-08,9.812,
2004-09,10.064,
2004-10,10.363,
2004-11,11.109,
2004-12,9.584,
2005-01,9.289,
2005-02,10.117,
2005-03,9.901,
2005-04,10.384,
2005-05,10.059,
2005-06,10.464,
2005-07,10.371,
2005-08,9.694,
2005-09,9.595,
2005-10,9.804,
2005-11,9.997,
2005-12,10.225,
2006-01,10.292,
2006-02,10.736,
2006-03,11.129,
2006-04,11.447,
2006-05,11.211,
2006-06,11.831,
2006-07,11.663,
2006-08,11.091,
2006-09,11.911,
2006-10,12.136,
2006-11,12.173,
2006-12,12.194,
2007-01,12.169,
2007-02,12.104,
2007-03,13.208,
2007-04,13.464,
2007-05,13.112,
2007-06,13.579,
2007-07,13.407,
2007-08,12.911,
2007-09,13.292,
2007-10,14.063,
2007-11,14.396,
2007-12,14.672,
2008-01,14.663,
2008-02,15.362,
2008-03,16.072,
2008-04,16.048,
2008-05,16.493,
2008-06,18.904,
2008-07,19.131,
2008-08,18.663,
2008-09,20.396,
2008-10,20.330,
2008-11,20.735,
2008-12,20.100,
2009-01,19.621,
2009-02,19.368,
2009-03,20.774,
2009-04,20.280,
2009-05,22.066,
2009-06,21.870,
2009-07,21.722,
2009-08,21.714,
2009-09,21.704,
2009-10,21.728,
2009-11,21.589,
2009-12,24.618,
2010-01,20.238,
2010-02,20.853,
2010-03,21.609,
2010-04,21.064,
2010-05,21.370,
2010-06,22.521,
2010-07,27.687,
2010-08,31.810,
2010-09,30.485,
2010-10,31.146,
2010-11,31.003,
2010-12,31.301,
2011-01,36.096,
2011-02,36.355,
2011-03,38.891,
2011-04,33.292,
2011-05,34.669,
2011-06,35.499,
2011-07,38.420,
2011-08,39.234,
2011-09,39.220,
2011-10,41.993,
2011-11,45.891,
2011-12,39.044,
2012-01,44.354,
2012-02,41.496,
2012-03,34.270,
2012-04,35.027,
2012-05,36.454,
2012-06,31.402,
2012-07,25.176,
2012-08,24.359,
2012-09,24.065,
2012-10,23.455,
2012-11,24.743,
2012-12,22.959,
2013-01,29.060,
2013-02,31.325,
2013-03,30.514,
2013-04,29.977,
2013-05,29.578,
2013-06,35.427,
2013-07,29.274,
2013-08,28.786,
2013-09,30.225,
2013-10,29.611,
2013-11,26.494,
2013-12,27.732,
2014-01,27.757,
2014-02,28.215,
2014-03,27.100,
2014-04,30.024,
2014-05,28.479,
2014-06,31.918,
2014-07,28.979,
2014-08,25.824,
2014-09,31.249,
2014-10,31.602,
2014-11,32.844,
2014-12,29.689,
