"",BBK01.OEXL01Q,BBK01.OEXL01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:50,
2002-01,5.177,
2002-04,5.018,
2002-07,4.951,
2002-10,5.027,
2003-01,4.997,
2003-04,4.954,
2003-07,5.395,
2003-10,5.506,
2004-01,5.307,
2004-04,5.291,
2004-07,5.228,
2004-10,3.778,
2005-01,3.708,
2005-04,3.823,
2005-07,3.900,
2005-10,4.124,
2006-01,4.794,
2006-04,5.197,
2006-07,5.246,
2006-10,5.872,
2007-01,6.866,
2007-04,7.995,
2007-07,8.676,
2007-10,9.083,
2008-01,9.908,
2008-04,11.494,
2008-07,11.994,
2008-10,12.028,
2009-01,11.192,
2009-04,11.332,
2009-07,10.854,
2009-10,10.661,
2010-01,10.762,
2010-04,11.252,
2010-07,11.269,
2010-10,11.617,
2011-01,11.712,
2011-04,11.813,
2011-07,11.916,
2011-10,12.051,
2012-01,12.052,
2012-04,12.328,
2012-07,12.574,
2012-10,12.711,
2013-01,12.683,
2013-04,13.163,
2013-07,13.386,
2013-10,13.880,
2014-01,13.803,
2014-04,14.128,
2014-07,14.286,
