"",BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:07,
1991-01,2.793,
1991-04,4.922,
1991-07,-0.018,
1991-10,2.450,
1992-01,5.704,
1992-04,1.938,
1992-07,164.372,
1992-10,2.315,
1993-01,-0.824,
1993-04,-1.623,
1993-07,-0.818,
1993-10,1.615,
1994-01,-2.692,
1994-04,4.665,
1994-07,6.277,
1994-10,3.681,
1995-01,0.511,
1995-04,0.308,
1995-07,1.285,
1995-10,1.806,
1996-01,1.674,
1996-04,1.546,
1996-07,2.143,
1996-10,-0.207,
1997-01,5.901,
1997-04,0.690,
1997-07,1.853,
1997-10,-0.258,
1998-01,5.254,
1998-04,7.185,
1998-07,1.584,
1998-10,1.877,
1999-01,5.605,
1999-04,6.216,
1999-07,0.014,
1999-10,1.424,
2000-01,5.201,
2000-04,-1.739,
2000-07,8.870,
2000-10,-1.020,
2001-01,1.683,
2001-04,-4.468,
2001-07,1.387,
2001-10,1.655,
2002-01,2.220,
2002-04,2.200,
2002-07,2.321,
2002-10,5.078,
2003-01,5.271,
2003-04,-1.435,
2003-07,-0.766,
2003-10,-2.713,
2004-01,-4.908,
2004-04,2.416,
2004-07,0.786,
2004-10,-8.334,
2005-01,-2.964,
2005-04,-2.223,
2005-07,-5.960,
2005-10,2.746,
2006-01,-17.154,
2006-04,-0.510,
2006-07,2.553,
2006-10,-9.016,
2007-01,14.641,
2007-04,12.451,
2007-07,-5.076,
2007-10,-3.501,
2008-01,3.998,
2008-04,2.622,
2008-07,2.702,
2008-10,31.633,
2009-01,14.622,
2009-04,-5.050,
2009-07,-5.237,
2009-10,21.490,
2010-01,-28.881,
2010-04,-11.928,
2010-07,-0.906,
2010-10,1.323,
2011-01,1.679,
2011-04,-0.369,
2011-07,1.304,
2011-10,-3.048,
2012-01,-3.770,
2012-04,-0.929,
2012-07,3.801,
2012-10,-3.803,
2013-01,-2.537,
2013-04,14.153,
2013-07,-2.740,
2013-10,-9.102,
2014-01,-1.228,Provisional value
2014-04,-6.074,Provisional value
2014-07,9.656,Provisional value
2014-10,6.411,Provisional value
