"",BBK01.OEAH82L,BBK01.OEAH82L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:32,
2002-01,0.206,
2002-04,0.193,
2002-07,0.178,
2002-10,0.201,
2003-01,0.197,
2003-04,0.193,
2003-07,0.184,
2003-10,0.190,
2004-01,0.189,
2004-04,0.178,
2004-07,0.188,
2004-10,0.193,
2005-01,0.192,
2005-04,0.193,
2005-07,0.194,
2005-10,0.191,
2006-01,0.191,
2006-04,0.181,
2006-07,0.181,
2006-10,0.168,
2007-01,0.143,
2007-04,0.139,
2007-07,0.137,
2007-10,0.129,
2008-01,0.115,
2008-04,0.122,
2008-07,0.122,
2008-10,0.120,
2009-01,0.175,
2009-04,0.198,
2009-07,0.167,
2009-10,0.216,
2010-01,0.086,
2010-04,0.109,
2010-07,0.111,
2010-10,0.121,
2011-01,0.145,
2011-04,0.130,
2011-07,0.133,
2011-10,0.120,
2012-01,0.115,
2012-04,0.118,
2012-07,0.121,
2012-10,0.125,
2013-01,0.128,
2013-04,0.100,
2013-07,0.107,
2013-10,0.110,
2014-01,0.093,
2014-04,0.065,
2014-07,0.059,
