"",BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.US.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / United States / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:43,
1990-07,2230329,
1990-08,2015495,
1990-09,1739375,
1990-10,2217580,
1990-11,1830942,
1990-12,1616335,
1991-01,1676881,
1991-02,1669932,
1991-03,1772475,
1991-04,1772135,
1991-05,1605406,
1991-06,1640003,
1991-07,1867859,
1991-08,1844589,
1991-09,1767182,
1991-10,1913247,
1991-11,2014673,
1991-12,1790071,
1992-01,1744913,
1992-02,1635849,
1992-03,1994728,
1992-04,1827673,
1992-05,1570758,
1992-06,1670841,
1992-07,2135047,
1992-08,1536064,
1992-09,1846874,
1992-10,2041178,
1992-11,1789234,
1992-12,2041190,
1993-01,1583928,
1993-02,1776952,
1993-03,2136028,
1993-04,1835374,
1993-05,1838303,
1993-06,2141288,
1993-07,2029829,
1993-08,1895088,
1993-09,1847738,
1993-10,2174293,
1993-11,2246583,
1993-12,2397860,
1994-01,1935368,
1994-02,2132351,
1994-03,2471019,
1994-04,2122078,
1994-05,2402416,
1994-06,2498550,
1994-07,2124969,
1994-08,2222900,
1994-09,2267072,
1994-10,2344601,
1994-11,2713503,
1994-12,2455557,
1995-01,2162854,
1995-02,2218120,
1995-03,2575006,
1995-04,2162376,
1995-05,2549306,
1995-06,2329190,
1995-07,2228850,
1995-08,2040100,
1995-09,2247476,
1995-10,2442649,
1995-11,2644590,
1995-12,2321429,
1996-01,2120830,
1996-02,2415268,
1996-03,2459397,
1996-04,2476499,
1996-05,2608693,
1996-06,2328487,
1996-07,2725373,
1996-08,2439665,
1996-09,2640950,
1996-10,3194402,
1996-11,2845792,
1996-12,2480315,
1997-01,2646610,
1997-02,2880894,
1997-03,3063435,
1997-04,3437104,
1997-05,2959388,
1997-06,3213639,
1997-07,3588773,
1997-08,2814065,
1997-09,3775218,
1997-10,3799050,
1997-11,3446108,
1997-12,3549367,
1998-01,3252184,
1998-02,3593476,
1998-03,4269424,
1998-04,3990978,
1998-05,3642643,
1998-06,3742123,
1998-07,4259314,
1998-08,3283227,
1998-09,3804881,
1998-10,4076667,
1998-11,4039950,
1998-12,3933939,
1999-01,3300643,
1999-02,3529274,
1999-03,4377228,
1999-04,4477243,
1999-05,3848958,
1999-06,4399494,
1999-07,4958865,
1999-08,3941519,
1999-09,4155871,
1999-10,4567870,
1999-11,5009973,
1999-12,4858505,
2000-01,4040020,
2000-02,4948739,
2000-03,5606604,
2000-04,4344320,
2000-05,5586358,
2000-06,5026624,
2000-07,5461652,
2000-08,5049749,
2000-09,4772196,
2000-10,5939670,
2000-11,5867017,
2000-12,5121270,
2001-01,6048509,
2001-02,5331693,
2001-03,6015533,
2001-04,5542167,
2001-05,5852842,
2001-06,5832832,
2001-07,6354791,
2001-08,5548342,
2001-09,5043564,
2001-10,6144007,
2001-11,5294627,
2001-12,4815021,
2002-01,5372056,
2002-02,5404533,
2002-03,5947969,
2002-04,5928142,
2002-05,5204474,
2002-06,5475573,
2002-07,6543689,
2002-08,5711394,
2002-09,5685989,
2002-10,6302215,
2002-11,5844075,
2002-12,4843040,
2003-01,5491455,
2003-02,5357802,
2003-03,5147665,
2003-04,5033767,
2003-05,5235623,
2003-06,4826511,
2003-07,5565830,
2003-08,4467895,
2003-09,5426257,
2003-10,5409686,
2003-11,5023535,
2003-12,4667587,
2004-01,4918037,
2004-02,5108804,
2004-03,5635488,
2004-04,5695645,
2004-05,5310102,
2004-06,5585438,
2004-07,5888971,
2004-08,4840320,
2004-09,5390493,
2004-10,5567005,
2004-11,5539801,
2004-12,5380274,
2005-01,5081526,
2005-02,5158294,
2005-03,5544622,
2005-04,5561136,
2005-05,5416983,
2005-06,6273715,
2005-07,5745960,
2005-08,5819781,
2005-09,6129484,
2005-10,6221889,
2005-11,6255140,
2005-12,6090613,
2006-01,5808156,
2006-02,6391447,
2006-03,7114614,
2006-04,5695938,
2006-05,6137532,
2006-06,6178488,
2006-07,6499022,
2006-08,5890309,
2006-09,6997666,
2006-10,7216472,
2006-11,7679930,
2006-12,6381760,
2007-01,5971916,
2007-02,6179081,
2007-03,6221458,
2007-04,5699066,
2007-05,5793223,
2007-06,6046038,
2007-07,6538691,
2007-08,6078582,
2007-09,6279060,
2007-10,6676832,
2007-11,6563679,
2007-12,5279485,
2008-01,6306142,
2008-02,6439086,
2008-03,5974036,
2008-04,6216422,
2008-05,5196520,
2008-06,6663221,
2008-07,5895531,
2008-08,5475762,
2008-09,6329914,
2008-10,6309930,
2008-11,5813390,
2008-12,4808275,
2009-01,4328022,
2009-02,4636289,
2009-03,4858800,
2009-04,4673232,
2009-05,3891970,
2009-06,4933728,
2009-07,4974114,
2009-08,3603424,
2009-09,4344537,
2009-10,4641955,
2009-11,5199438,
2009-12,4270854,
2010-01,3761362,
2010-02,4478529,
2010-03,6397863,
2010-04,5145017,
2010-05,5191929,
2010-06,5867013,
2010-07,5974484,
2010-08,5088497,
2010-09,6031459,
2010-10,5856361,
2010-11,6474163,
2010-12,5307487,
2011-01,5225320,
2011-02,5871942,
2011-03,6528393,
2011-04,5487143,
2011-05,6217305,
2011-06,5952291,
2011-07,6165825,
2011-08,6081071,
2011-09,6507827,
2011-10,6521325,
2011-11,6764499,
2011-12,6452698,
2012-01,7064423,
2012-02,6922563,
2012-03,7398190,
2012-04,6493477,
2012-05,6804672,
2012-06,7042675,
2012-07,8000939,
2012-08,7676445,
2012-09,7999129,
2012-10,8067974,
2012-11,7569865,
2012-12,5931005,
2013-01,6890473,
2013-02,6911187,
2013-03,7953864,
2013-04,7678840,
2013-05,6830596,
2013-06,6992596,
2013-07,7530335,
2013-08,7265650,
2013-09,7929566,
2013-10,8406760,
2013-11,8547335,
2013-12,6410631,
2014-01,7202806,
2014-02,7607699,
2014-03,7848105,
2014-04,7663607,
2014-05,7501571,
2014-06,7230709,
2014-07,8756137,
2014-08,7167499,
2014-09,9664001,
2014-10,9076596,
2014-11,8338874,
2014-12,8019382,
