"",BBK01.OEAG05L,BBK01.OEAG05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:22,
2002-01,0.618,
2002-04,0.655,
2002-07,0.655,
2002-10,0.832,
2003-01,1.133,
2003-04,0.764,
2003-07,1.036,
2003-10,1.498,
2004-01,1.325,
2004-04,1.007,
2004-07,1.249,
2004-10,1.081,
2005-01,1.179,
2005-04,1.254,
2005-07,1.278,
2005-10,0.795,
2006-01,0.660,
2006-04,0.330,
2006-07,0.347,
2006-10,0.527,
2007-01,0.255,
2007-04,0.296,
2007-07,0.348,
2007-10,0.418,
2008-01,0.485,
2008-04,0.602,
2008-07,0.587,
2008-10,0.459,
2009-01,0.449,
2009-04,0.447,
2009-07,0.324,
2009-10,0.321,
2010-01,0.328,
2010-04,0.316,
2010-07,0.285,
2010-10,0.281,
2011-01,0.281,
2011-04,0.275,
2011-07,0.277,
2011-10,0.337,
2012-01,0.325,
2012-04,0.370,
2012-07,0.333,
2012-10,0.327,
2013-01,0.322,
2013-04,0.324,
2013-07,0.328,
2013-10,0.314,
2014-01,0.312,
2014-04,0.377,
2014-07,0.300,
