"",BBK01.OECI04L,BBK01.OECI04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:40,
2002-01,65.098,
2002-04,58.886,
2002-07,71.861,
2002-10,54.621,
2003-01,77.172,
2003-04,71.767,
2003-07,87.393,
2003-10,73.851,
2004-01,73.635,
2004-04,62.740,
2004-07,74.939,
2004-10,94.364,
2005-01,81.980,
2005-04,84.352,
2005-07,85.653,
2005-10,86.295,
2006-01,85.997,
2006-04,83.387,
2006-07,93.594,
2006-10,86.226,
2007-01,82.149,
2007-04,86.195,
2007-07,73.711,
2007-10,91.508,
2008-01,94.400,
2008-04,76.688,
2008-07,68.561,
2008-10,54.161,
2009-01,40.993,
2009-04,41.756,
2009-07,44.114,
2009-10,36.579,
2010-01,34.449,
2010-04,38.056,
2010-07,39.573,
2010-10,37.176,
2011-01,31.901,
2011-04,52.578,
2011-07,47.405,
2011-10,41.162,
2012-01,36.605,
2012-04,36.330,
2012-07,37.250,
2012-10,43.746,
2013-01,50.224,
2013-04,69.053,
2013-07,35.822,
2013-10,49.174,
2014-01,39.278,
2014-04,36.382,
2014-07,49.443,
