"",BBK01.OECI05M,BBK01.OECI05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:47,
2002-01,0.169,
2002-04,0.166,
2002-07,0.161,
2002-10,0.152,
2003-01,0.140,
2003-04,0.136,
2003-07,0.133,
2003-10,0.130,
2004-01,0.128,
2004-04,0.124,
2004-07,0.122,
2004-10,0.154,
2005-01,0.493,
2005-04,0.470,
2005-07,0.458,
2005-10,0.452,
2006-01,0.445,
2006-04,0.516,
2006-07,0.517,
2006-10,0.512,
2007-01,0.521,
2007-04,0.549,
2007-07,0.609,
2007-10,0.852,
2008-01,0.861,
2008-04,0.860,
2008-07,0.904,
2008-10,0.939,
2009-01,0.942,
2009-04,0.990,
2009-07,1.012,
2009-10,0.986,
2010-01,0.998,
2010-04,0.965,
2010-07,0.953,
2010-10,0.927,
2011-01,0.928,
2011-04,0.948,
2011-07,0.922,
2011-10,0.870,
2012-01,0.947,
2012-04,1.003,
2012-07,0.973,
2012-10,0.962,
2013-01,0.957,
2013-04,0.952,
2013-07,0.937,
2013-10,0.916,
2014-01,0.865,
2014-04,0.722,
2014-07,0.719,
