"",BBSF2.M.1.T.00000.IMM01.I.F.BGS.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGS.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Developed properties / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:53,
2009-09,38220,
2009-10,38393,
2009-11,38604,
2009-12,39349,
2010-01,39657,
2010-02,39719,
2010-03,39890,
2010-04,39873,
2010-05,39936,
2010-06,40000,
2010-07,40119,
2010-08,40244,
2010-09,40455,
2010-10,40778,
2010-11,40854,
2010-12,41421,
2011-01,41775,
2011-02,42175,
2011-03,42182,
2011-04,42673,
2011-05,42724,
2011-06,42840,
2011-07,43221,
2011-08,43484,
2011-09,43653,
2011-10,44081,
2011-11,44249,
2011-12,44386,
2012-01,44567,
2012-02,44564,
2012-03,44916,
2012-04,44820,
2012-05,44835,
2012-06,45080,
2012-07,45609,
2012-08,45956,
2012-09,46405,
2012-10,46708,
2012-11,46883,
2012-12,47743,
2013-01,48482,
2013-02,48586,
2013-03,48458,
2013-04,48473,
2013-05,48723,
2013-06,49779,
2013-07,50217,
2013-08,50636,
2013-09,50697,
2013-10,51004,
2013-11,51405,
2013-12,52665,
2014-01,53068,
2014-02,53318,
2014-03,53771,
2014-04,55116,
2014-05,55101,
2014-06,55348,
2014-07,56152,
2014-08,56354,
2014-09,55756,
2014-10,55733,
2014-11,57450,
