"",BBK01.OECJ01M,BBK01.OECJ01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:12,
2002-01,2.466,
2002-04,2.427,
2002-07,2.581,
2002-10,3.399,
2003-01,2.703,
2003-04,2.620,
2003-07,2.540,
2003-10,3.214,
2004-01,2.573,
2004-04,2.632,
2004-07,2.560,
2004-10,3.075,
2005-01,3.373,
2005-04,3.430,
2005-07,3.572,
2005-10,3.812,
2006-01,3.436,
2006-04,3.531,
2006-07,3.697,
2006-10,4.150,
2007-01,3.967,
2007-04,3.919,
2007-07,4.282,
2007-10,5.417,
2008-01,4.688,
2008-04,4.559,
2008-07,4.609,
2008-10,5.583,
2009-01,5.041,
2009-04,4.971,
2009-07,5.209,
2009-10,5.474,
2010-01,4.893,
2010-04,5.112,
2010-07,5.108,
2010-10,5.625,
2011-01,5.405,
2011-04,5.231,
2011-07,5.438,
2011-10,6.813,
2012-01,6.014,
2012-04,6.433,
2012-07,6.855,
2012-10,7.840,
2013-01,6.829,
2013-04,6.643,
2013-07,7.009,
2013-10,7.086,
2014-01,6.630,
2014-04,6.475,
2014-07,6.955,
