"",BBK01.OEAA08P,BBK01.OEAA08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:50,
2002-01,0.183,
2002-04,0.176,
2002-07,0.172,
2002-10,0.167,
2003-01,0.163,
2003-04,0.156,
2003-07,0.161,
2003-10,0.138,
2004-01,0.134,
2004-04,0.132,
2004-07,0.126,
2004-10,0.123,
2005-01,0.114,
2005-04,0.111,
2005-07,0.109,
2005-10,0.104,
2006-01,0.100,
2006-04,0.098,
2006-07,0.094,
2006-10,0.091,
2007-01,0.087,
2007-04,0.085,
2007-07,0.082,
2007-10,0.079,
2008-01,0.077,
2008-04,0.072,
2008-07,0.071,
2008-10,0.067,
2009-01,0.065,
2009-04,0.063,
2009-07,0.060,
2009-10,0.028,
2010-01,0.027,
2010-04,0.026,
2010-07,0.026,
2010-10,0.027,
2011-01,0.024,
2011-04,0.021,
2011-07,0.020,
2011-10,0.020,
2012-01,0.020,
2012-04,0.020,
2012-07,0.020,
2012-10,0.019,
2013-01,0.013,
2013-04,0.017,
2013-07,0.016,
2013-10,0.014,
2014-01,0.014,
2014-04,0.014,
2014-07,0.012,
