"",BBK01.OEAA32M,BBK01.OEAA32M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:50,
2002-01,1.112,
2002-04,1.125,
2002-07,1.143,
2002-10,1.131,
2003-01,1.166,
2003-04,1.154,
2003-07,1.151,
2003-10,1.224,
2004-01,0.901,
2004-04,0.924,
2004-07,1.032,
2004-10,0.960,
2005-01,1.024,
2005-04,1.013,
2005-07,1.008,
2005-10,0.993,
2006-01,0.982,
2006-04,1.014,
2006-07,0.996,
2006-10,0.974,
2007-01,1.111,
2007-04,1.074,
2007-07,1.051,
2007-10,1.017,
2008-01,0.634,
2008-04,0.592,
2008-07,0.568,
2008-10,0.540,
2009-01,0.522,
2009-04,0.506,
2009-07,0.479,
2009-10,0.461,
2010-01,0.452,
2010-04,0.466,
2010-07,0.472,
2010-10,0.477,
2011-01,0.460,
2011-04,0.457,
2011-07,0.467,
2011-10,0.472,
2012-01,0.467,
2012-04,0.451,
2012-07,0.438,
2012-10,0.418,
2013-01,0.402,
2013-04,0.387,
2013-07,0.360,
2013-10,0.348,
2014-01,0.330,
2014-04,0.314,
2014-07,0.303,
