"",BBK01.OEYJ01H,BBK01.OEYJ01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:26,
2002-01,44.930,
2002-04,45.620,
2002-07,45.290,
2002-10,46.665,
2003-01,47.458,
2003-04,48.289,
2003-07,47.831,
2003-10,53.730,
2004-01,52.907,
2004-04,55.007,
2004-07,53.945,
2004-10,54.838,
2005-01,55.167,
2005-04,55.170,
2005-07,54.807,
2005-10,52.919,
2006-01,54.383,
2006-04,54.440,
2006-07,54.038,
2006-10,53.921,
2007-01,57.642,
2007-04,60.029,
2007-07,58.917,
2007-10,58.215,
2008-01,70.104,
2008-04,73.589,
2008-07,74.178,
2008-10,67.898,
2009-01,74.908,
2009-04,75.147,
2009-07,81.561,
2009-10,82.445,
2010-01,81.809,
2010-04,81.646,
2010-07,79.384,
2010-10,78.028,
2011-01,75.102,
2011-04,75.111,
2011-07,72.994,
2011-10,73.021,
2012-01,70.536,
2012-04,72.289,
2012-07,71.164,
2012-10,73.885,
2013-01,72.986,
2013-04,73.396,
2013-07,67.741,
2013-10,67.661,
2014-01,67.798,
2014-04,66.175,
2014-07,65.753,
