"",BBK01.OEYM01K,BBK01.OEYM01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:32,
2002-01,2.609,
2002-04,2.754,
2002-07,2.460,
2002-10,2.427,
2003-01,2.119,
2003-04,2.483,
2003-07,2.293,
2003-10,2.344,
2004-01,1.872,
2004-04,1.981,
2004-07,3.155,
2004-10,0.645,
2005-01,0.652,
2005-04,0.579,
2005-07,0.597,
2005-10,0.565,
2006-01,0.620,
2006-04,0.573,
2006-07,0.598,
2006-10,0.618,
2007-01,0.612,
2007-04,0.660,
2007-07,0.649,
2007-10,0.717,
2008-01,0.696,
2008-04,0.710,
2008-07,0.731,
2008-10,0.295,
2009-01,0.115,
2009-04,0.273,
2009-07,0.123,
2009-10,0.134,
2010-01,0.142,
2010-04,0.321,
2010-07,0.319,
2010-10,0.283,
2011-01,0.248,
2011-04,0.297,
2011-07,0.224,
2011-10,0.169,
2012-01,0.191,
2012-04,0.236,
2012-07,0.172,
2012-10,0.116,
2013-01,0.111,
2013-04,0.118,
2013-07,0.172,
2013-10,0.177,
2014-01,0.166,
2014-04,0.163,
2014-07,0.207,
