"",BBK01.OEYL02V,BBK01.OEYL02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:06,
2002-01,0.004,
2002-04,0.004,
2002-07,0.003,
2002-10,0.004,
2003-01,0.013,
2003-04,0.009,
2003-07,0.085,
2003-10,0.014,
2004-01,0.033,
2004-04,0.017,
2004-07,0.016,
2004-10,0.017,
2005-01,0.024,
2005-04,0.020,
2005-07,0.023,
2005-10,0.023,
2006-01,0.025,
2006-04,0.024,
2006-07,0.024,
2006-10,0.023,
2007-01,0.024,
2007-04,0.024,
2007-07,0.026,
2007-10,0.033,
2008-01,0.028,
2008-04,0.024,
2008-07,0.020,
2008-10,0.024,
2009-01,0.044,
2009-04,0.040,
2009-07,0.052,
2009-10,0.035,
2010-01,0.031,
2010-04,0.040,
2010-07,0.044,
2010-10,0.040,
2011-01,0.051,
2011-04,0.066,
2011-07,0.063,
2011-10,0.045,
2012-01,0.051,
2012-04,0.056,
2012-07,0.088,
2012-10,0.049,
2013-01,0.152,
2013-04,0.169,
2013-07,0.100,
2013-10,0.058,
2014-01,0.063,
2014-04,0.074,
2014-07,0.068,
