"",BBK01.OEBB09U,BBK01.OEBB09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:02,
2002-01,3.713,
2002-04,3.770,
2002-07,3.715,
2002-10,3.713,
2003-01,3.591,
2003-04,3.550,
2003-07,3.500,
2003-10,3.512,
2004-01,3.530,
2004-04,3.472,
2004-07,3.457,
2004-10,3.351,
2005-01,3.332,
2005-04,3.274,
2005-07,3.312,
2005-10,3.251,
2006-01,3.251,
2006-04,3.266,
2006-07,3.319,
2006-10,3.387,
2007-01,3.425,
2007-04,3.548,
2007-07,3.532,
2007-10,3.624,
2008-01,3.743,
2008-04,3.787,
2008-07,3.764,
2008-10,3.794,
2009-01,3.788,
2009-04,3.833,
2009-07,3.847,
2009-10,3.884,
2010-01,3.958,
2010-04,4.013,
2010-07,4.070,
2010-10,4.059,
2011-01,4.164,
2011-04,4.278,
2011-07,4.335,
2011-10,4.304,
2012-01,4.380,
2012-04,4.394,
2012-07,4.397,
2012-10,4.399,
2013-01,4.481,
2013-04,4.501,
2013-07,4.509,
2013-10,4.555,
2014-01,4.553,
2014-04,4.719,
2014-07,4.470,
